tick,nation_id,pop_stock,ind_stock,wealth_stock,army_size,culture_individualist,culture_progressive,culture_militaristic,culture_expansionist,culture_family
0,nation_costa_rica,0.00,0.00,5.00,,-0.036709,0.197468,-0.560759,-0.429114,latin
0,nation_guatemala,0.00,0.00,0.00,,-0.400000,-0.500000,0.200000,0.100000,latin
0,nation_honduras,0.00,0.00,0.00,,-0.400000,-0.400000,0.100000,-0.100000,latin
0,nation_panama,0.00,0.00,0.00,,0.100000,0.200000,-0.400000,-0.300000,latin
1,nation_costa_rica,1.22,0.74,4.56,,-0.035909,0.198068,-0.562159,-0.430114,latin
1,nation_guatemala,3.92,1.12,-1.10,,-0.400000,-0.500000,0.200000,0.100000,latin
1,nation_honduras,1.62,0.54,-1.96,,-0.400000,-0.400000,0.100000,-0.100000,latin
1,nation_panama,0.32,0.32,-1.86,,0.100000,0.200000,-0.400000,-0.300000,latin
2,nation_costa_rica,2.44,1.48,4.12,,-0.035208,0.198594,-0.563387,-0.430990,latin
2,nation_guatemala,7.84,2.24,-2.20,,-0.400000,-0.500000,0.200000,0.100000,latin
2,nation_honduras,3.24,1.08,-3.92,,-0.400000,-0.400000,0.100000,-0.100000,latin
2,nation_panama,0.64,0.64,-3.72,,0.100000,0.200000,-0.400000,-0.300000,latin
3,nation_costa_rica,3.66,2.22,3.68,,-0.034594,0.199055,-0.564461,-0.431758,latin
3,nation_guatemala,11.76,3.36,-3.30,,-0.400000,-0.500000,0.200000,0.100000,latin
3,nation_honduras,4.86,1.62,-5.88,,-0.400000,-0.400000,0.100000,-0.100000,latin
3,nation_panama,0.96,0.96,-5.58,,0.100000,0.200000,-0.400000,-0.300000,latin
4,nation_costa_rica,4.88,2.96,3.24,,-0.034058,0.199456,-0.565398,-0.432427,latin
4,nation_guatemala,15.68,4.48,-4.40,,-0.400000,-0.500000,0.200000,0.100000,latin
4,nation_honduras,6.48,2.16,-7.84,,-0.400000,-0.400000,0.100000,-0.100000,latin
4,nation_panama,1.28,1.28,-7.44,,0.100000,0.200000,-0.400000,-0.300000,latin
5,nation_costa_rica,6.10,3.70,2.80,,-0.033592,0.199806,-0.566214,-0.433010,latin
5,nation_guatemala,19.60,5.60,-5.50,,-0.400000,-0.500000,0.200000,0.100000,latin
5,nation_honduras,8.10,2.70,-9.80,,-0.400000,-0.400000,0.100000,-0.100000,latin
5,nation_panama,1.60,1.60,-9.30,,0.100000,0.200000,-0.400000,-0.300000,latin
6,nation_costa_rica,7.32,4.44,2.36,,-0.033187,0.200109,-0.566922,-0.433516,latin
6,nation_guatemala,23.52,6.72,-6.60,,-0.400000,-0.500000,0.200000,0.100000,latin
6,nation_honduras,9.72,3.24,-11.76,,-0.400000,-0.400000,0.100000,-0.100000,latin
6,nation_panama,1.92,1.92,-11.16,,0.100000,0.200000,-0.400000,-0.300000,latin
7,nation_costa_rica,8.54,5.18,1.92,,-0.032838,0.200372,-0.567534,-0.433953,latin
7,nation_guatemala,27.44,7.84,-7.70,,-0.400000,-0.500000,0.200000,0.100000,latin
7,nation_honduras,11.34,3.78,-13.72,,-0.400000,-0.400000,0.100000,-0.100000,latin
7,nation_panama,2.24,2.24,-13.02,,0.100000,0.200000,-0.400000,-0.300000,latin
8,nation_costa_rica,9.76,5.92,1.48,,-0.032537,0.200597,-0.568060,-0.434329,latin
8,nation_guatemala,31.36,8.96,-8.80,,-0.400000,-0.500000,0.200000,0.100000,latin
8,nation_honduras,12.96,4.32,-15.68,,-0.400000,-0.400000,0.100000,-0.100000,latin
8,nation_panama,2.56,2.56,-14.88,,0.100000,0.200000,-0.400000,-0.300000,latin
9,nation_costa_rica,10.98,6.66,1.04,,-0.032279,0.200791,-0.568512,-0.434651,latin
9,nation_guatemala,35.28,10.08,-9.90,,-0.400000,-0.500000,0.200000,0.100000,latin
9,nation_honduras,14.58,4.86,-17.64,,-0.400000,-0.400000,0.100000,-0.100000,latin
9,nation_panama,2.88,2.88,-16.74,,0.100000,0.200000,-0.400000,-0.300000,latin
10,nation_costa_rica,12.20,7.40,0.60,,-0.032059,0.200956,-0.568896,-0.434926,latin
10,nation_guatemala,39.20,11.20,-11.00,,-0.400000,-0.500000,0.200000,0.100000,latin
10,nation_honduras,16.20,5.40,-19.60,,-0.400000,-0.400000,0.100000,-0.100000,latin
