tick,message
1,"Expansionist AI has become insolvent (wealth -0.3)."
1,"Costa Rica has become insolvent (wealth -1.8)."
1,"Guatemala has become insolvent (wealth -1.1)."
1,"Honduras has become insolvent (wealth -2.0)."
1,"Nicaragua has become insolvent (wealth -2.1)."
1,"Panamá has become insolvent (wealth -1.9)."
1,"[AI] Expansionist AI claimed belize."
2,"[AI] Expansionist AI proposed non-aggression with nation_guatemala."
8,"A treaty proposal from Expansionist AI to Guatemala has expired."
8,"[AI] Expansionist AI proposed non-aggression with nation_guatemala."
14,"A treaty proposal from Expansionist AI to Guatemala has expired."
14,"[AI] Expansionist AI proposed non-aggression with nation_guatemala."
