tick,nation_id,pop_stock,ind_stock,wealth_stock,army_size,culture_individualist,culture_progressive,culture_militaristic,culture_expansionist,culture_family
0,nation_ai_merchant,0.00,0.00,30.00,,0.100000,0.200000,-0.400000,-0.300000,latin
0,nation_costa_rica,0.00,0.00,20.00,,0.100000,0.300000,-0.800000,-0.600000,latin
0,nation_guatemala,0.00,0.00,0.00,,-0.400000,-0.500000,0.200000,0.100000,latin
0,nation_honduras,0.00,0.00,0.00,,-0.400000,-0.400000,0.100000,-0.100000,latin
0,nation_nicaragua,0.00,0.00,0.00,,-0.300000,0.000000,-0.100000,-0.100000,latin
0,nation_ai_expansionist,0.00,0.00,0.00,,-0.200000,-0.100000,-0.100000,0.100000,latin
1,nation_ai_merchant,0.32,0.32,29.64,,0.100000,0.200000,-0.400000,-0.300000,latin
1,nation_costa_rica,0.50,0.50,18.20,,0.100000,0.300000,-0.800000,-0.600000,latin
1,nation_guatemala,3.92,1.12,-1.10,,-0.400000,-0.500000,0.200000,0.100000,latin
1,nation_honduras,1.62,0.54,-1.96,,-0.400000,-0.400000,0.100000,-0.100000,latin
1,nation_nicaragua,0.72,0.24,-2.14,,-0.300000,0.000000,-0.100000,-0.100000,latin
1,nation_ai_expansionist,2.00,0.80,-0.30,,-0.139367,-0.039367,-0.160633,0.027241,latin
2,nation_ai_merchant,0.64,0.64,26.28,,0.100000,0.200000,-0.400000,-0.300000,latin
2,nation_costa_rica,1.00,1.00,19.40,,0.100000,0.300000,-0.800000,-0.600000,latin
2,nation_guatemala,7.84,2.24,-2.20,,-0.400000,-0.500000,0.200000,0.100000,latin
2,nation_honduras,3.24,1.08,-3.92,,-0.400000,-0.400000,0.100000,-0.100000,latin
2,nation_nicaragua,1.44,0.48,-4.28,,-0.300000,0.000000,-0.100000,-0.100000,latin
2,nation_ai_expansionist,4.18,1.72,-0.36,,-0.139346,-0.039346,-0.160654,0.027215,latin
3,nation_ai_merchant,0.96,0.96,22.92,,0.100000,0.200000,-0.400000,-0.300000,latin
3,nation_costa_rica,1.50,1.50,20.60,,0.100000,0.300000,-0.800000,-0.600000,latin
3,nation_guatemala,11.76,3.36,-3.30,,-0.400000,-0.500000,0.200000,0.100000,latin
3,nation_honduras,4.86,1.62,-5.88,,-0.400000,-0.400000,0.100000,-0.100000,latin
3,nation_nicaragua,2.16,0.72,-6.42,,-0.300000,0.000000,-0.100000,-0.100000,latin
3,nation_ai_expansionist,6.36,2.64,-0.42,,-0.139305,-0.039305,-0.160695,0.027166,latin
4,nation_ai_merchant,1.28,1.28,19.56,,0.100000,0.200000,-0.400000,-0.300000,latin
4,nation_costa_rica,2.00,2.00,21.80,,0.100000,0.300000,-0.800000,-0.600000,latin
4,nation_guatemala,15.68,4.48,-4.40,,-0.400000,-0.500000,0.200000,0.100000,latin
4,nation_honduras,6.48,2.16,-7.84,,-0.400000,-0.400000,0.100000,-0.100000,latin
4,nation_nicaragua,2.88,0.96,-8.56,,-0.300000,0.000000,-0.100000,-0.100000,latin
4,nation_ai_expansionist,8.54,3.56,-0.48,,-0.139247,-0.039247,-0.160753,0.027096,latin
5,nation_ai_merchant,1.60,1.60,16.20,,0.100000,0.200000,-0.400000,-0.300000,latin
5,nation_costa_rica,2.50,2.50,23.00,,0.100000,0.300000,-0.800000,-0.600000,latin
5,nation_guatemala,19.60,5.60,-5.50,,-0.400000,-0.500000,0.200000,0.100000,latin
5,nation_honduras,8.10,2.70,-9.80,,-0.400000,-0.400000,0.100000,-0.100000,latin
5,nation_nicaragua,3.60,1.20,-10.70,,-0.300000,0.000000,-0.100000,-0.100000,latin
5,nation_ai_expansionist,10.72,4.48,-0.54,,-0.139174,-0.039174,-0.160826,0.027009,latin
6,nation_ai_merchant,1.92,1.92,12.84,,0.100000,0.200000,-0.400000,-0.300000,latin
6,nation_costa_rica,3.00,3.00,24.20,,0.100000,0.300000,-0.800000,-0.600000,latin
6,nation_guatemala,23.52,6.72,-6.60,,-0.400000,-0.500000,0.200000,0.100000,latin
6,nation_honduras,9.72,3.24,-11.76,,-0.400000,-0.400000,0.100000,-0.100000,latin
6,nation_nicaragua,4.32,1.44,-12.84,,-0.300000,0.000000,-0.100000,-0.100000,latin
6,nation_ai_expansionist,12.90,5.40,-0.60,,-0.139089,-0.039089,-0.160911,0.026906,latin
7,nation_ai_merchant,2.24,2.24,9.48,,0.100000,0.200000,-0.400000,-0.300000,latin
