tick,territory_id,owner_id,unrest,equilibrium,conquest_shock,base,compat_pressure,distance_pressure,infra_bonus,overexpansion,rapid_expansion,is_in_revolt,compat_total
0,mexico_yucatan,nation_ai_expansionist,0.000000,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
0,guatemala,nation_guatemala,0.000000,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
0,belize,,0.000000,0.000000,0.000000,,,,,,,0,
0,honduras,nation_honduras,0.000000,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
0,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
0,nicaragua,nation_nicaragua,0.000000,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
0,costa_rica,nation_costa_rica,0.000000,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
0,panama,nation_ai_merchant,0.000000,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
1,mexico_yucatan,nation_ai_expansionist,0.002000,0.087003,0.000000,0.020000,0.007003,0.000000,0.000000,0.000000,0.060000,0,0.987267
1,guatemala,nation_guatemala,0.003500,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
1,belize,nation_ai_expansionist,0.000000,0.302747,0.000000,0.020000,0.182747,0.040000,0.000000,0.000000,0.060000,0,0.667733
1,honduras,nation_honduras,0.003500,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
1,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
1,nicaragua,nation_nicaragua,0.002000,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
1,costa_rica,nation_costa_rica,0.002000,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
1,panama,nation_ai_merchant,0.002000,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
2,mexico_yucatan,nation_ai_expansionist,0.012500,0.081867,0.000000,0.020000,0.006867,0.000000,0.000000,0.000000,0.055000,0,0.987514
2,guatemala,nation_guatemala,0.008650,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
2,belize,nation_ai_expansionist,0.032275,0.296762,0.000000,0.020000,0.181762,0.040000,0.000000,0.000000,0.055000,0,0.669523
2,honduras,nation_honduras,0.008650,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
2,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
2,nicaragua,nation_nicaragua,0.005800,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
2,costa_rica,nation_costa_rica,0.003800,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
2,panama,nation_ai_merchant,0.003800,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
3,mexico_yucatan,nation_ai_expansionist,0.021437,0.076738,0.000000,0.020000,0.006738,0.000000,0.000000,0.000000,0.050000,0,0.987750
3,guatemala,nation_guatemala,0.011785,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
3,belize,nation_ai_expansionist,0.060723,0.290823,0.000000,0.020000,0.180823,0.040000,0.000000,0.000000,0.050000,0,0.671231
3,honduras,nation_honduras,0.013285,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
3,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
3,nicaragua,nation_nicaragua,0.009220,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
3,costa_rica,nation_costa_rica,0.005420,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
3,panama,nation_ai_merchant,0.005420,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
4,mexico_yucatan,nation_ai_expansionist,0.028967,0.071613,0.000000,0.020000,0.006613,0.000000,0.000000,0.000000,0.045000,0,0.987976
4,guatemala,nation_guatemala,0.014607,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
4,belize,nation_ai_expansionist,0.085733,0.284923,0.000000,0.020000,0.179923,0.040000,0.000000,0.000000,0.045000,0,0.672867
4,honduras,nation_honduras,0.017457,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
4,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
4,nicaragua,nation_nicaragua,0.012298,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
4,costa_rica,nation_costa_rica,0.006878,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
4,panama,nation_ai_merchant,0.006878,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
5,mexico_yucatan,nation_ai_expansionist,0.035232,0.066494,0.000000,0.020000,0.006494,0.000000,0.000000,0.000000,0.040000,0,0.988192
5,guatemala,nation_guatemala,0.017146,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
5,belize,nation_ai_expansionist,0.107652,0.279060,0.000000,0.020000,0.179060,0.040000,0.000000,0.000000,0.040000,0,0.674437
5,honduras,nation_honduras,0.021211,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
5,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
5,nicaragua,nation_nicaragua,0.015068,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
5,costa_rica,nation_costa_rica,0.008190,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
5,panama,nation_ai_merchant,0.008190,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
6,mexico_yucatan,nation_ai_expansionist,0.040358,0.061379,0.000000,0.020000,0.006379,0.000000,0.000000,0.000000,0.035000,0,0.988401
6,guatemala,nation_guatemala,0.019431,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
6,belize,nation_ai_expansionist,0.126793,0.273228,0.000000,0.020000,0.178228,0.040000,0.000000,0.000000,0.035000,0,0.675949
6,honduras,nation_honduras,0.024590,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
6,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
6,nicaragua,nation_nicaragua,0.017561,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
6,costa_rica,nation_costa_rica,0.009371,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
6,panama,nation_ai_merchant,0.009371,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
7,mexico_yucatan,nation_ai_expansionist,0.044460,0.056269,0.000000,0.020000,0.006269,0.000000,0.000000,0.000000,0.030000,0,0.988602
7,guatemala,nation_guatemala,0.021488,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
7,belize,nation_ai_expansionist,0.143437,0.267425,0.000000,0.020000,0.177425,0.040000,0.000000,0.000000,0.030000,0,0.677409
7,honduras,nation_honduras,0.027631,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
7,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
7,nicaragua,nation_nicaragua,0.019805,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
7,costa_rica,nation_costa_rica,0.010434,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
7,panama,nation_ai_merchant,0.010434,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
8,mexico_yucatan,nation_ai_expansionist,0.047641,0.051161,0.000000,0.020000,0.006161,0.000000,0.000000,0.000000,0.025000,0,0.988798
8,guatemala,nation_guatemala,0.023339,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
8,belize,nation_ai_expansionist,0.157835,0.261648,0.000000,0.020000,0.176648,0.040000,0.000000,0.000000,0.025000,0,0.678823
8,honduras,nation_honduras,0.030368,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
8,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
8,nicaragua,nation_nicaragua,0.021825,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
8,costa_rica,nation_costa_rica,0.011391,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
8,panama,nation_ai_merchant,0.011391,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
9,mexico_yucatan,nation_ai_expansionist,0.049993,0.046057,0.000000,0.020000,0.006057,0.000000,0.000000,0.000000,0.020000,0,0.988987
9,guatemala,nation_guatemala,0.025005,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
9,belize,nation_ai_expansionist,0.170217,0.255894,0.000000,0.020000,0.175894,0.040000,0.000000,0.000000,0.020000,0,0.680193
9,honduras,nation_honduras,0.032831,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
9,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
9,nicaragua,nation_nicaragua,0.023642,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
9,costa_rica,nation_costa_rica,0.012252,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
9,panama,nation_ai_merchant,0.012252,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
10,mexico_yucatan,nation_ai_expansionist,0.051599,0.040956,0.000000,0.020000,0.005956,0.000000,0.000000,0.000000,0.015000,0,0.989171
10,guatemala,nation_guatemala,0.026505,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
10,belize,nation_ai_expansionist,0.180784,0.250161,0.000000,0.020000,0.175161,0.040000,0.000000,0.000000,0.015000,0,0.681526
10,honduras,nation_honduras,0.035048,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
10,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
