tick,treaty_id,clause_index,resource,amount,from_nation,to_nation,flow_status,missed_payments,clause_status
2,1001,1,wealth,3.00,nation_ai_merchant,nation_costa_rica,paid,0,active
3,1001,1,wealth,3.00,nation_ai_merchant,nation_costa_rica,paid,0,active
4,1001,1,wealth,3.00,nation_ai_merchant,nation_costa_rica,paid,0,active
5,1001,1,wealth,3.00,nation_ai_merchant,nation_costa_rica,paid,0,active
6,1001,1,wealth,3.00,nation_ai_merchant,nation_costa_rica,paid,0,active
7,1001,1,wealth,3.00,nation_ai_merchant,nation_costa_rica,paid,0,active
8,1001,1,wealth,3.00,nation_ai_merchant,nation_costa_rica,paid,0,active
9,1001,1,wealth,3.00,nation_ai_merchant,nation_costa_rica,paid,0,active
10,1001,1,wealth,3.00,nation_ai_merchant,nation_costa_rica,missed,1,active
11,1001,1,wealth,3.00,nation_ai_merchant,nation_costa_rica,breached,2,breached
12,1001,1,wealth,3.00,nation_ai_merchant,nation_costa_rica,breached,2,breached
12,1013,1,wealth,3.00,nation_ai_merchant,nation_costa_rica,missed,1,active
13,1001,1,wealth,3.00,nation_ai_merchant,nation_costa_rica,breached,2,breached
13,1013,1,wealth,3.00,nation_ai_merchant,nation_costa_rica,breached,2,breached
14,1001,1,wealth,3.00,nation_ai_merchant,nation_costa_rica,breached,2,breached
14,1013,1,wealth,3.00,nation_ai_merchant,nation_costa_rica,breached,2,breached
15,1001,1,wealth,3.00,nation_ai_merchant,nation_costa_rica,breached,2,breached
15,1013,1,wealth,3.00,nation_ai_merchant,nation_costa_rica,breached,2,breached
