tick,treaty_id,status,party_a,party_b,clauses,term_ticks,tick_ends,total_collateral,collateral_a,collateral_b,escrow_a,escrow_b,refund_a,refund_b
2,1001,active,nation_ai_merchant,nation_costa_rica,"non_aggression|trade",10,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,1001,active,nation_ai_merchant,nation_costa_rica,"non_aggression|trade",10,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,1003,active,nation_ai_expansionist,nation_guatemala,"non_aggression",10,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,1001,active,nation_ai_merchant,nation_costa_rica,"non_aggression|trade",10,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,1003,active,nation_ai_expansionist,nation_guatemala,"non_aggression",10,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,1001,active,nation_ai_merchant,nation_costa_rica,"non_aggression|trade",10,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,1003,active,nation_ai_expansionist,nation_guatemala,"non_aggression",10,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,1001,active,nation_ai_merchant,nation_costa_rica,"non_aggression|trade",10,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,1003,active,nation_ai_expansionist,nation_guatemala,"non_aggression",10,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,1001,active,nation_ai_merchant,nation_costa_rica,"non_aggression|trade",10,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,1003,active,nation_ai_expansionist,nation_guatemala,"non_aggression",10,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,1001,active,nation_ai_merchant,nation_costa_rica,"non_aggression|trade",10,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,1003,active,nation_ai_expansionist,nation_guatemala,"non_aggression",10,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,1001,active,nation_ai_merchant,nation_costa_rica,"non_aggression|trade",10,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,1003,active,nation_ai_expansionist,nation_guatemala,"non_aggression",10,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,1001,active,nation_ai_merchant,nation_costa_rica,"non_aggression|trade",10,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,1003,active,nation_ai_expansionist,nation_guatemala,"non_aggression",10,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,1001,expired,nation_ai_merchant,nation_costa_rica,"non_aggression|trade",10,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,1003,active,nation_ai_expansionist,nation_guatemala,"non_aggression",10,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,1001,expired,nation_ai_merchant,nation_costa_rica,"non_aggression|trade",10,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,1003,expired,nation_ai_expansionist,nation_guatemala,"non_aggression",10,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,1013,active,nation_ai_merchant,nation_costa_rica,"non_aggression|trade",10,21,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,1001,expired,nation_ai_merchant,nation_costa_rica,"non_aggression|trade",10,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,1003,expired,nation_ai_expansionist,nation_guatemala,"non_aggression",10,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,1013,active,nation_ai_merchant,nation_costa_rica,"non_aggression|trade",10,21,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,1015,active,nation_ai_expansionist,nation_guatemala,"non_aggression",10,22,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,1001,expired,nation_ai_merchant,nation_costa_rica,"non_aggression|trade",10,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,1003,expired,nation_ai_expansionist,nation_guatemala,"non_aggression",10,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,1013,active,nation_ai_merchant,nation_costa_rica,"non_aggression|trade",10,21,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,1015,active,nation_ai_expansionist,nation_guatemala,"non_aggression",10,22,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,1001,expired,nation_ai_merchant,nation_costa_rica,"non_aggression|trade",10,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,1003,expired,nation_ai_expansionist,nation_guatemala,"non_aggression",10,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,1013,active,nation_ai_merchant,nation_costa_rica,"non_aggression|trade",10,21,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,1015,active,nation_ai_expansionist,nation_guatemala,"non_aggression",10,22,0.00,0.00,0.00,0.00,0.00,0.00,0.00
