tick,nation_id,trust,inactivity_tier,wealth_stock,debt_balance
0,nation_costa_rica,50.000,active,0.00,0.00
0,nation_guatemala,50.000,active,0.00,0.00
0,nation_honduras,50.000,active,0.00,0.00
0,nation_nicaragua,50.000,active,0.00,0.00
0,nation_panama,50.000,active,0.00,0.00
1,nation_costa_rica,50.000,active,8.50,0.00
1,nation_guatemala,50.000,active,2.50,0.00
1,nation_honduras,50.000,active,0.50,0.00
1,nation_nicaragua,50.000,active,0.50,0.00
1,nation_panama,50.000,active,5.50,0.00
2,nation_costa_rica,50.000,active,17.00,0.00
2,nation_guatemala,50.000,active,5.00,0.00
2,nation_honduras,50.000,active,1.00,0.00
2,nation_nicaragua,50.000,active,1.00,0.00
2,nation_panama,50.000,active,11.00,0.00
3,nation_costa_rica,50.000,active,25.50,0.00
3,nation_guatemala,50.000,active,7.50,0.00
3,nation_honduras,50.000,active,1.50,0.00
3,nation_nicaragua,50.000,active,1.50,0.00
3,nation_panama,50.000,active,16.50,0.00
4,nation_costa_rica,50.000,active,34.00,0.00
4,nation_guatemala,50.000,active,10.00,0.00
4,nation_honduras,50.000,active,2.00,0.00
4,nation_nicaragua,50.000,active,2.00,0.00
4,nation_panama,50.000,active,22.00,0.00
5,nation_costa_rica,50.000,active,42.50,0.00
5,nation_guatemala,50.000,active,12.50,0.00
5,nation_honduras,50.000,active,2.50,0.00
5,nation_nicaragua,50.000,active,2.50,0.00
5,nation_panama,50.000,active,27.50,0.00
6,nation_costa_rica,50.000,active,51.00,0.00
6,nation_guatemala,50.000,active,15.00,0.00
6,nation_honduras,50.000,active,3.00,0.00
6,nation_nicaragua,50.000,active,3.00,0.00
6,nation_panama,50.000,active,33.00,0.00
7,nation_costa_rica,50.000,active,59.50,0.00
7,nation_guatemala,50.000,active,17.50,0.00
7,nation_honduras,50.000,active,3.50,0.00
7,nation_nicaragua,50.000,active,3.50,0.00
7,nation_panama,50.000,active,38.50,0.00
8,nation_costa_rica,50.000,active,68.00,0.00
8,nation_guatemala,50.000,active,20.00,0.00
8,nation_honduras,50.000,active,4.00,0.00
8,nation_nicaragua,50.000,active,4.00,0.00
8,nation_panama,50.000,active,44.00,0.00
9,nation_costa_rica,50.000,active,76.50,0.00
9,nation_guatemala,50.000,active,22.50,0.00
9,nation_honduras,50.000,active,4.50,0.00
9,nation_nicaragua,50.000,active,4.50,0.00
9,nation_panama,50.000,active,49.50,0.00
10,nation_costa_rica,50.000,active,85.00,0.00
10,nation_guatemala,50.000,active,25.00,0.00
10,nation_honduras,50.000,active,5.00,0.00
10,nation_nicaragua,50.000,active,5.00,0.00
10,nation_panama,50.000,active,55.00,0.00
11,nation_costa_rica,50.000,active,93.50,0.00
11,nation_guatemala,50.000,active,27.50,0.00
11,nation_honduras,50.000,active,5.50,0.00
11,nation_nicaragua,50.000,active,5.50,0.00
11,nation_panama,50.000,active,60.50,0.00
12,nation_costa_rica,50.000,active,102.00,0.00
12,nation_guatemala,50.000,active,30.00,0.00
12,nation_honduras,50.000,active,6.00,0.00
12,nation_nicaragua,50.000,active,6.00,0.00
12,nation_panama,50.000,active,66.00,0.00
13,nation_costa_rica,50.000,active,110.50,0.00
13,nation_guatemala,50.000,active,32.50,0.00
13,nation_honduras,50.000,active,6.50,0.00
13,nation_nicaragua,50.000,active,6.50,0.00
13,nation_panama,50.000,active,71.50,0.00
14,nation_costa_rica,50.000,active,119.00,0.00
14,nation_guatemala,50.000,active,35.00,0.00
14,nation_honduras,50.000,active,7.00,0.00
14,nation_nicaragua,50.000,active,7.00,0.00
14,nation_panama,50.000,active,77.00,0.00
15,nation_costa_rica,50.000,active,127.50,0.00
15,nation_guatemala,50.000,active,37.50,0.00
15,nation_honduras,50.000,active,7.50,0.00
15,nation_nicaragua,50.000,active,7.50,0.00
15,nation_panama,50.000,active,82.50,0.00
16,nation_costa_rica,50.000,active,136.00,0.00
16,nation_guatemala,50.000,active,40.00,0.00
16,nation_honduras,50.000,active,8.00,0.00
16,nation_nicaragua,50.000,active,8.00,0.00
16,nation_panama,50.000,active,88.00,0.00
17,nation_costa_rica,50.000,active,144.50,0.00
17,nation_guatemala,50.000,active,42.50,0.00
17,nation_honduras,50.000,active,8.50,0.00
17,nation_nicaragua,50.000,active,8.50,0.00
17,nation_panama,50.000,active,93.50,0.00
18,nation_costa_rica,50.000,active,153.00,0.00
18,nation_guatemala,50.000,active,45.00,0.00
18,nation_honduras,50.000,active,9.00,0.00
18,nation_nicaragua,50.000,active,9.00,0.00
18,nation_panama,50.000,active,99.00,0.00
19,nation_costa_rica,50.000,active,161.50,0.00
19,nation_guatemala,50.000,active,47.50,0.00
19,nation_honduras,50.000,active,9.50,0.00
19,nation_nicaragua,50.000,active,9.50,0.00
19,nation_panama,50.000,active,104.50,0.00
20,nation_costa_rica,50.000,active,170.00,0.00
20,nation_guatemala,50.000,active,50.00,0.00
20,nation_honduras,50.000,active,10.00,0.00
20,nation_nicaragua,50.000,active,10.00,0.00
20,nation_panama,50.000,active,110.00,0.00
21,nation_costa_rica,50.000,active,178.50,0.00
21,nation_guatemala,50.000,active,52.50,0.00
21,nation_honduras,50.000,active,10.50,0.00
21,nation_nicaragua,50.000,active,10.50,0.00
21,nation_panama,50.000,active,115.50,0.00
22,nation_costa_rica,50.000,active,187.00,0.00
22,nation_guatemala,50.000,active,55.00,0.00
22,nation_honduras,50.000,active,11.00,0.00
22,nation_nicaragua,50.000,active,11.00,0.00
22,nation_panama,50.000,active,121.00,0.00
23,nation_costa_rica,50.000,active,195.50,0.00
23,nation_guatemala,50.000,active,57.50,0.00
23,nation_honduras,50.000,active,11.50,0.00
23,nation_nicaragua,50.000,active,11.50,0.00
23,nation_panama,50.000,active,126.50,0.00
24,nation_costa_rica,50.000,active,204.00,0.00
24,nation_guatemala,50.000,active,60.00,0.00
24,nation_honduras,50.000,active,12.00,0.00
24,nation_nicaragua,50.000,active,12.00,0.00
24,nation_panama,50.000,active,132.00,0.00
25,nation_costa_rica,50.000,active,212.50,0.00
25,nation_guatemala,50.000,active,62.50,0.00
25,nation_honduras,50.000,active,12.50,0.00
25,nation_nicaragua,50.000,active,12.50,0.00
25,nation_panama,50.000,active,137.50,0.00
26,nation_costa_rica,50.000,active,221.00,0.00
26,nation_guatemala,50.000,active,65.00,0.00
26,nation_honduras,50.000,active,13.00,0.00
26,nation_nicaragua,50.000,active,13.00,0.00
26,nation_panama,50.000,active,143.00,0.00
27,nation_costa_rica,50.000,active,229.50,0.00
27,nation_guatemala,50.000,active,67.50,0.00
27,nation_honduras,50.000,active,13.50,0.00
27,nation_nicaragua,50.000,active,13.50,0.00
27,nation_panama,50.000,active,148.50,0.00
28,nation_costa_rica,50.000,active,238.00,0.00
28,nation_guatemala,50.000,active,70.00,0.00
28,nation_honduras,50.000,active,14.00,0.00
28,nation_nicaragua,50.000,active,14.00,0.00
28,nation_panama,50.000,active,154.00,0.00
29,nation_costa_rica,50.000,active,246.50,0.00
29,nation_guatemala,50.000,active,72.50,0.00
29,nation_honduras,50.000,active,14.50,0.00
29,nation_nicaragua,50.000,active,14.50,0.00
29,nation_panama,50.000,active,159.50,0.00
30,nation_costa_rica,50.000,active,255.00,0.00
30,nation_guatemala,50.000,active,75.00,0.00
30,nation_honduras,50.000,active,15.00,0.00
30,nation_nicaragua,50.000,active,15.00,0.00
30,nation_panama,50.000,active,165.00,0.00
31,nation_costa_rica,50.000,active,263.50,0.00
31,nation_guatemala,50.000,active,77.50,0.00
31,nation_honduras,50.000,active,15.50,0.00
31,nation_nicaragua,50.000,active,15.50,0.00
31,nation_panama,50.000,active,170.50,0.00
32,nation_costa_rica,50.000,active,272.00,0.00
32,nation_guatemala,50.000,active,80.00,0.00
32,nation_honduras,50.000,active,16.00,0.00
32,nation_nicaragua,50.000,active,16.00,0.00
32,nation_panama,50.000,active,176.00,0.00
33,nation_costa_rica,50.000,active,280.50,0.00
33,nation_guatemala,50.000,active,82.50,0.00
33,nation_honduras,50.000,active,16.50,0.00
33,nation_nicaragua,50.000,active,16.50,0.00
33,nation_panama,50.000,active,181.50,0.00
34,nation_costa_rica,50.000,active,289.00,0.00
34,nation_guatemala,50.000,active,85.00,0.00
34,nation_honduras,50.000,active,17.00,0.00
34,nation_nicaragua,50.000,active,17.00,0.00
34,nation_panama,50.000,active,187.00,0.00
35,nation_costa_rica,50.000,active,297.50,0.00
35,nation_guatemala,50.000,active,87.50,0.00
35,nation_honduras,50.000,active,17.50,0.00
35,nation_nicaragua,50.000,active,17.50,0.00
35,nation_panama,50.000,active,192.50,0.00
36,nation_costa_rica,50.000,active,306.00,0.00
36,nation_guatemala,50.000,active,90.00,0.00
36,nation_honduras,50.000,active,18.00,0.00
36,nation_nicaragua,50.000,active,18.00,0.00
36,nation_panama,50.000,active,198.00,0.00
37,nation_costa_rica,50.000,active,314.50,0.00
37,nation_guatemala,50.000,active,92.50,0.00
37,nation_honduras,50.000,active,18.50,0.00
37,nation_nicaragua,50.000,active,18.50,0.00
37,nation_panama,50.000,active,203.50,0.00
38,nation_costa_rica,50.000,active,323.00,0.00
38,nation_guatemala,50.000,active,95.00,0.00
38,nation_honduras,50.000,active,19.00,0.00
38,nation_nicaragua,50.000,active,19.00,0.00
38,nation_panama,50.000,active,209.00,0.00
