tick,nation_id,trust,inactivity_tier,activity_tier,wealth_stock,debt_balance
0,nation_costa_rica,50.000,active,active,0.00,0.00
0,nation_nicaragua,50.000,active,active,0.00,0.00
0,nation_honduras,50.000,active,active,0.00,0.00
1,nation_costa_rica,50.000,active,active,0.70,0.00
1,nation_nicaragua,50.000,active,active,0.36,0.00
1,nation_honduras,50.000,active,active,0.54,0.00
2,nation_costa_rica,50.000,active,active,1.40,0.00
2,nation_nicaragua,50.000,active,active,0.72,0.00
2,nation_honduras,50.000,active,active,1.08,0.00
3,nation_costa_rica,50.000,active,active,2.10,0.00
3,nation_nicaragua,50.000,active,active,1.08,0.00
3,nation_honduras,50.000,active,active,1.62,0.00
4,nation_costa_rica,50.000,active,active,2.80,0.00
4,nation_nicaragua,50.000,active,active,1.44,0.00
4,nation_honduras,50.000,active,active,2.16,0.00
5,nation_costa_rica,50.000,active,active,3.50,0.00
5,nation_nicaragua,50.000,active,active,1.80,0.00
5,nation_honduras,50.000,active,active,2.70,0.00
6,nation_costa_rica,50.000,active,active,4.20,0.00
6,nation_nicaragua,50.000,active,active,2.16,0.00
6,nation_honduras,50.000,active,active,3.24,0.00
7,nation_costa_rica,50.000,active,active,4.90,0.00
7,nation_nicaragua,50.000,active,active,2.52,0.00
7,nation_honduras,50.000,active,active,3.78,0.00
8,nation_costa_rica,50.000,active,active,5.60,0.00
8,nation_nicaragua,50.000,active,active,2.88,0.00
8,nation_honduras,50.000,active,active,4.32,0.00
9,nation_costa_rica,50.000,active,active,6.30,0.00
9,nation_nicaragua,50.000,active,active,3.24,0.00
9,nation_honduras,50.000,active,active,4.86,0.00
10,nation_costa_rica,50.000,active,active,7.00,0.00
10,nation_nicaragua,50.000,active,active,3.60,0.00
10,nation_honduras,50.000,active,active,5.40,0.00
