tick,nation_id,trust,inactivity_tier,activity_tier,wealth_stock,debt_balance
0,nation_costa_rica,50.000,active,active,30.00,0.00
0,nation_nicaragua,50.000,active,active,30.00,0.00
0,nation_honduras,50.000,active,active,10.00,0.00
0,nation_guatemala,50.000,active,active,10.00,0.00
0,nation_panama,50.000,active,active,10.00,0.00
1,nation_costa_rica,50.000,active,active,28.20,0.00
1,nation_nicaragua,50.000,active,active,27.86,0.00
1,nation_honduras,50.000,active,active,8.04,0.00
1,nation_guatemala,50.000,active,active,8.90,0.00
1,nation_panama,50.000,active,active,8.14,0.00
2,nation_costa_rica,50.000,active,active,26.40,0.00
2,nation_nicaragua,50.000,active,active,25.72,0.00
2,nation_honduras,50.000,active,active,6.08,0.00
2,nation_guatemala,50.000,active,active,7.80,0.00
2,nation_panama,50.000,active,active,6.28,0.00
3,nation_costa_rica,50.000,active,active,24.60,0.00
3,nation_nicaragua,50.000,active,active,23.58,0.00
3,nation_honduras,50.000,active,active,4.12,0.00
3,nation_guatemala,50.000,active,active,6.70,0.00
3,nation_panama,50.000,active,active,4.42,0.00
4,nation_costa_rica,50.000,active,active,22.80,0.00
4,nation_nicaragua,50.000,active,active,21.44,0.00
4,nation_honduras,50.000,active,active,2.16,0.00
4,nation_guatemala,50.000,active,active,5.60,0.00
4,nation_panama,50.000,active,active,2.56,0.00
5,nation_costa_rica,50.000,active,active,21.00,0.00
5,nation_nicaragua,50.000,active,active,19.30,0.00
5,nation_honduras,50.000,active,active,0.20,0.00
5,nation_guatemala,50.000,active,active,4.50,0.00
5,nation_panama,50.000,active,active,0.70,0.00
6,nation_costa_rica,50.000,active,active,19.20,0.00
6,nation_nicaragua,50.000,active,active,17.16,0.00
6,nation_honduras,50.000,active,active,-1.76,1.76
6,nation_guatemala,50.000,active,active,3.40,0.00
6,nation_panama,50.000,active,active,-1.16,1.16
7,nation_costa_rica,50.000,active,active,17.40,0.00
7,nation_nicaragua,50.000,active,active,15.02,0.00
7,nation_honduras,50.000,active,active,-3.72,5.48
7,nation_guatemala,50.000,active,active,2.30,0.00
7,nation_panama,50.000,active,active,-3.02,4.18
8,nation_costa_rica,50.000,active,active,15.60,0.00
8,nation_nicaragua,50.000,active,active,12.88,0.00
8,nation_honduras,50.000,active,active,-5.68,11.16
8,nation_guatemala,50.000,active,active,1.20,0.00
8,nation_panama,50.000,active,active,-4.88,9.06
9,nation_costa_rica,50.000,active,active,13.80,0.00
9,nation_nicaragua,50.000,active,active,10.74,0.00
9,nation_honduras,50.000,active,active,-7.64,18.80
9,nation_guatemala,50.000,active,active,0.10,0.00
9,nation_panama,50.000,active,active,-6.74,15.80
10,nation_costa_rica,50.000,active,active,12.00,0.00
10,nation_nicaragua,50.000,active,active,8.60,0.00
10,nation_honduras,50.000,active,active,-9.60,28.40
10,nation_guatemala,50.000,active,active,-1.00,1.00
10,nation_panama,50.000,active,active,-8.60,24.40
11,nation_costa_rica,50.000,active,active,10.20,0.00
11,nation_nicaragua,50.000,active,active,6.46,0.00
11,nation_honduras,50.000,active,active,-11.56,39.96
11,nation_guatemala,50.000,active,active,-2.10,3.10
11,nation_panama,50.000,active,active,-10.46,34.86
12,nation_costa_rica,50.000,active,active,8.40,0.00
12,nation_nicaragua,50.000,active,active,4.32,0.00
12,nation_honduras,50.000,active,active,-13.52,53.48
12,nation_guatemala,50.000,active,active,-3.20,6.30
12,nation_panama,50.000,active,active,-12.32,47.18
13,nation_costa_rica,50.000,active,active,6.60,0.00
13,nation_nicaragua,50.000,active,active,2.18,0.00
13,nation_honduras,50.000,active,active,-15.48,68.96
13,nation_guatemala,50.000,active,active,-4.30,10.60
13,nation_panama,50.000,active,active,-14.18,61.36
