tick,treaty_id,status,party_a,party_b,clauses,term_ticks,tick_ends,total_collateral,collateral_a,collateral_b,escrow_a,escrow_b,refund_a,refund_b
1,1,active,nation_nicaragua,nation_costa_rica,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,2,active,nation_nicaragua,nation_honduras,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,3,active,nation_nicaragua,nation_guatemala,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,4,active,nation_nicaragua,nation_panama,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,1,active,nation_nicaragua,nation_costa_rica,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,2,active,nation_nicaragua,nation_honduras,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,3,active,nation_nicaragua,nation_guatemala,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,4,active,nation_nicaragua,nation_panama,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,1,active,nation_nicaragua,nation_costa_rica,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,2,active,nation_nicaragua,nation_honduras,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,3,active,nation_nicaragua,nation_guatemala,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,4,active,nation_nicaragua,nation_panama,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,1,active,nation_nicaragua,nation_costa_rica,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,2,active,nation_nicaragua,nation_honduras,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,3,active,nation_nicaragua,nation_guatemala,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,4,active,nation_nicaragua,nation_panama,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,1,active,nation_nicaragua,nation_costa_rica,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,2,active,nation_nicaragua,nation_honduras,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,3,active,nation_nicaragua,nation_guatemala,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,4,active,nation_nicaragua,nation_panama,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,1,active,nation_nicaragua,nation_costa_rica,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,2,active,nation_nicaragua,nation_honduras,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,3,active,nation_nicaragua,nation_guatemala,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,4,active,nation_nicaragua,nation_panama,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,1,active,nation_nicaragua,nation_costa_rica,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,2,active,nation_nicaragua,nation_honduras,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,3,active,nation_nicaragua,nation_guatemala,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,4,active,nation_nicaragua,nation_panama,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,1,active,nation_nicaragua,nation_costa_rica,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,2,active,nation_nicaragua,nation_honduras,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,3,active,nation_nicaragua,nation_guatemala,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,4,active,nation_nicaragua,nation_panama,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,1,active,nation_nicaragua,nation_costa_rica,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,2,active,nation_nicaragua,nation_honduras,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,3,active,nation_nicaragua,nation_guatemala,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,4,active,nation_nicaragua,nation_panama,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,1,active,nation_nicaragua,nation_costa_rica,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,2,active,nation_nicaragua,nation_honduras,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,3,active,nation_nicaragua,nation_guatemala,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,4,active,nation_nicaragua,nation_panama,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,1,active,nation_nicaragua,nation_costa_rica,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,2,active,nation_nicaragua,nation_honduras,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,3,active,nation_nicaragua,nation_guatemala,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,4,active,nation_nicaragua,nation_panama,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,1,active,nation_nicaragua,nation_costa_rica,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,2,active,nation_nicaragua,nation_honduras,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,3,active,nation_nicaragua,nation_guatemala,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,4,active,nation_nicaragua,nation_panama,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,1,active,nation_nicaragua,nation_costa_rica,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,2,active,nation_nicaragua,nation_honduras,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,3,active,nation_nicaragua,nation_guatemala,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,4,active,nation_nicaragua,nation_panama,"non_aggression",20,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
