tick,nation_id,trust,inactivity_tier,activity_tier,wealth_stock,debt_balance
0,nation_costa_rica,50.000,active,active,0.00,0.00
0,nation_nicaragua,50.000,active,active,0.00,0.00
0,nation_guatemala,50.000,active,active,0.00,0.00
1,nation_costa_rica,50.000,active,active,0.70,0.00
1,nation_nicaragua,50.000,active,active,0.36,0.00
1,nation_guatemala,50.000,active,active,1.40,0.00
2,nation_costa_rica,50.000,active,active,1.40,0.00
2,nation_nicaragua,50.000,active,active,0.72,0.00
2,nation_guatemala,50.000,active,active,2.80,0.00
3,nation_costa_rica,50.000,active,active,2.10,0.00
3,nation_nicaragua,50.000,active,active,1.08,0.00
3,nation_guatemala,50.000,active,active,4.20,0.00
4,nation_costa_rica,50.000,active,active,2.80,0.00
4,nation_nicaragua,50.000,active,active,1.44,0.00
4,nation_guatemala,50.000,active,active,5.60,0.00
5,nation_costa_rica,50.000,active,active,3.50,0.00
5,nation_nicaragua,50.000,active,active,1.80,0.00
5,nation_guatemala,50.000,active,active,7.00,0.00
6,nation_costa_rica,50.000,active,active,4.20,0.00
6,nation_nicaragua,50.000,active,active,2.16,0.00
6,nation_guatemala,50.000,active,active,8.40,0.00
7,nation_costa_rica,50.000,active,active,4.90,0.00
7,nation_nicaragua,50.000,active,active,2.52,0.00
7,nation_guatemala,50.000,active,active,9.80,0.00
8,nation_costa_rica,50.000,active,active,5.60,0.00
8,nation_nicaragua,50.000,active,active,2.88,0.00
8,nation_guatemala,50.000,active,active,11.20,0.00
9,nation_costa_rica,50.000,active,active,6.30,0.00
9,nation_nicaragua,50.000,active,active,3.24,0.00
9,nation_guatemala,50.000,active,active,12.60,0.00
10,nation_costa_rica,50.000,active,active,7.00,0.00
10,nation_nicaragua,50.000,active,active,3.60,0.00
10,nation_guatemala,50.000,active,active,14.00,0.00
11,nation_costa_rica,50.000,active,active,7.70,0.00
11,nation_nicaragua,50.000,active,active,3.96,0.00
11,nation_guatemala,50.000,active,active,15.40,0.00
12,nation_costa_rica,50.000,active,active,8.40,0.00
12,nation_nicaragua,50.000,active,active,4.32,0.00
12,nation_guatemala,50.000,active,active,16.80,0.00
13,nation_costa_rica,50.000,active,active,9.10,0.00
13,nation_nicaragua,50.000,active,active,4.68,0.00
13,nation_guatemala,50.000,active,active,18.20,0.00
14,nation_costa_rica,50.000,active,active,9.80,0.00
14,nation_nicaragua,50.000,active,active,5.04,0.00
14,nation_guatemala,50.000,active,active,19.60,0.00
15,nation_costa_rica,50.000,active,active,10.50,0.00
15,nation_nicaragua,50.000,active,active,5.40,0.00
15,nation_guatemala,50.000,active,active,21.00,0.00
16,nation_costa_rica,50.000,active,active,11.20,0.00
16,nation_nicaragua,50.000,active,active,5.76,0.00
16,nation_guatemala,50.000,active,active,22.40,0.00
