tick,nation_id,pop_stock,ind_stock,wealth_stock,army_size,culture_individualist,culture_progressive,culture_militaristic,culture_expansionist,culture_family
0,nation_costa_rica,0.00,0.00,0.00,,0.100000,0.300000,-0.800000,-0.600000,latin
0,nation_nicaragua,0.00,0.00,0.00,,-0.300000,0.000000,-0.100000,0.700000,latin
0,nation_guatemala,0.00,0.00,0.00,,-0.400000,-0.500000,0.200000,0.700000,latin
1,nation_costa_rica,0.50,0.50,0.70,,0.100000,0.300000,-0.800000,-0.600000,latin
1,nation_nicaragua,0.72,0.24,0.36,,-0.300000,0.000000,-0.100000,0.700000,latin
1,nation_guatemala,3.92,1.12,1.40,,-0.400000,-0.500000,0.200000,0.700000,latin
2,nation_costa_rica,1.00,1.00,1.40,,0.100000,0.300000,-0.800000,-0.600000,latin
2,nation_nicaragua,1.44,0.48,0.72,,-0.300000,0.000000,-0.100000,0.700000,latin
2,nation_guatemala,7.84,2.24,2.80,,-0.400000,-0.500000,0.200000,0.700000,latin
3,nation_costa_rica,1.50,1.50,2.10,,0.100000,0.300000,-0.800000,-0.600000,latin
3,nation_nicaragua,2.16,0.72,1.08,,-0.300000,0.000000,-0.100000,0.700000,latin
3,nation_guatemala,11.76,3.36,4.20,,-0.400000,-0.500000,0.200000,0.700000,latin
4,nation_costa_rica,2.00,2.00,2.80,,0.100000,0.300000,-0.800000,-0.600000,latin
4,nation_nicaragua,2.88,0.96,1.44,,-0.300000,0.000000,-0.100000,0.700000,latin
4,nation_guatemala,15.68,4.48,5.60,,-0.400000,-0.500000,0.200000,0.700000,latin
5,nation_costa_rica,2.50,2.50,3.50,,0.100000,0.300000,-0.800000,-0.600000,latin
5,nation_nicaragua,3.60,1.20,1.80,,-0.300000,0.000000,-0.100000,0.700000,latin
5,nation_guatemala,19.60,5.60,7.00,,-0.400000,-0.500000,0.200000,0.700000,latin
6,nation_costa_rica,3.00,3.00,4.20,,0.100000,0.300000,-0.800000,-0.600000,latin
6,nation_nicaragua,4.32,1.44,2.16,,-0.300000,0.000000,-0.100000,0.700000,latin
6,nation_guatemala,23.52,6.72,8.40,,-0.400000,-0.500000,0.200000,0.700000,latin
7,nation_costa_rica,3.50,3.50,4.90,,0.100000,0.300000,-0.800000,-0.600000,latin
7,nation_nicaragua,5.04,1.68,2.52,,-0.300000,0.000000,-0.100000,0.700000,latin
7,nation_guatemala,27.44,7.84,9.80,,-0.400000,-0.500000,0.200000,0.700000,latin
8,nation_costa_rica,4.00,4.00,5.60,,0.100000,0.300000,-0.800000,-0.600000,latin
8,nation_nicaragua,5.76,1.92,2.88,,-0.300000,0.000000,-0.100000,0.700000,latin
8,nation_guatemala,31.36,8.96,11.20,,-0.400000,-0.500000,0.200000,0.700000,latin
9,nation_costa_rica,4.50,4.50,6.30,,0.100000,0.300000,-0.800000,-0.600000,latin
9,nation_nicaragua,6.48,2.16,3.24,,-0.300000,0.000000,-0.100000,0.700000,latin
9,nation_guatemala,35.28,10.08,12.60,,-0.400000,-0.500000,0.200000,0.700000,latin
10,nation_costa_rica,5.00,5.00,7.00,,0.100000,0.300000,-0.800000,-0.600000,latin
10,nation_nicaragua,7.20,2.40,3.60,,-0.300000,0.000000,-0.100000,0.700000,latin
10,nation_guatemala,39.20,11.20,14.00,,-0.400000,-0.500000,0.200000,0.700000,latin
11,nation_costa_rica,5.50,5.50,7.70,,0.100000,0.300000,-0.800000,-0.600000,latin
11,nation_nicaragua,7.92,2.64,3.96,,-0.300000,0.000000,-0.100000,0.700000,latin
11,nation_guatemala,43.12,12.32,15.40,,-0.400000,-0.500000,0.200000,0.700000,latin
12,nation_costa_rica,6.00,6.00,8.40,,0.100000,0.300000,-0.800000,-0.600000,latin
12,nation_nicaragua,8.64,2.88,4.32,,-0.300000,0.000000,-0.100000,0.700000,latin
12,nation_guatemala,47.04,13.44,16.80,,-0.400000,-0.500000,0.200000,0.700000,latin
13,nation_costa_rica,6.50,6.50,9.10,,0.100000,0.300000,-0.800000,-0.600000,latin
13,nation_nicaragua,9.36,3.12,4.68,,-0.300000,0.000000,-0.100000,0.700000,latin
13,nation_guatemala,50.96,14.56,18.20,,-0.400000,-0.500000,0.200000,0.700000,latin
14,nation_costa_rica,7.00,7.00,9.80,,0.100000,0.300000,-0.800000,-0.600000,latin
14,nation_nicaragua,10.08,3.36,5.04,,-0.300000,0.000000,-0.100000,0.700000,latin
14,nation_guatemala,54.88,15.68,19.60,,-0.400000,-0.500000,0.200000,0.700000,latin
15,nation_costa_rica,7.50,7.50,10.50,,0.100000,0.300000,-0.800000,-0.600000,latin
15,nation_nicaragua,10.80,3.60,5.40,,-0.300000,0.000000,-0.100000,0.700000,latin
15,nation_guatemala,58.80,16.80,21.00,,-0.400000,-0.500000,0.200000,0.700000,latin
16,nation_costa_rica,8.00,8.00,11.20,,0.100000,0.300000,-0.800000,-0.600000,latin
16,nation_nicaragua,11.52,3.84,5.76,,-0.300000,0.000000,-0.100000,0.700000,latin
16,nation_guatemala,62.72,17.92,22.40,,-0.400000,-0.500000,0.200000,0.700000,latin
