tick,nation_id,trust,inactivity_tier,activity_tier,wealth_stock,debt_balance
0,nation_costa_rica,50.000,active,active,0.00,0.00
0,nation_nicaragua,50.000,active,active,0.00,0.00
0,nation_honduras,50.000,active,active,0.00,0.00
1,nation_costa_rica,50.000,active,active,0.70,0.00
1,nation_nicaragua,50.000,active,active,-2.14,2.14
1,nation_honduras,50.000,active,active,-1.96,1.96
2,nation_costa_rica,50.000,active,active,1.40,0.00
2,nation_nicaragua,50.000,active,active,-4.28,6.42
2,nation_honduras,50.000,active,active,-3.92,5.88
3,nation_costa_rica,50.000,active,active,2.10,0.00
3,nation_nicaragua,50.000,active,active,-6.42,12.84
3,nation_honduras,50.000,active,active,-5.88,11.76
4,nation_costa_rica,50.000,active,active,2.80,0.00
4,nation_nicaragua,50.000,active,active,-8.56,21.40
4,nation_honduras,50.000,active,active,-7.84,19.60
5,nation_costa_rica,50.000,active,active,3.50,0.00
5,nation_nicaragua,50.000,active,active,-10.70,32.10
5,nation_honduras,50.000,active,active,-9.80,29.40
