tick,nation_id,trust,inactivity_tier,activity_tier,wealth_stock,debt_balance
0,nation_costa_rica,50.000,active,active,3.00,0.00
0,nation_nicaragua,50.000,active,active,3.00,0.00
1,nation_costa_rica,50.000,active,active,3.54,0.00
1,nation_nicaragua,50.000,active,active,3.36,0.00
2,nation_costa_rica,50.000,active,active,4.08,0.00
2,nation_nicaragua,50.000,active,active,3.72,0.00
3,nation_costa_rica,50.000,active,active,4.62,0.00
3,nation_nicaragua,50.000,active,active,4.08,0.00
4,nation_costa_rica,50.000,active,active,5.16,0.00
4,nation_nicaragua,50.000,active,active,4.44,0.00
5,nation_costa_rica,50.000,active,active,5.70,0.00
5,nation_nicaragua,50.000,active,active,4.80,0.00
6,nation_costa_rica,50.000,active,active,6.24,0.00
6,nation_nicaragua,50.000,active,active,5.16,0.00
7,nation_costa_rica,50.000,active,active,6.78,0.00
7,nation_nicaragua,50.000,active,active,5.52,0.00
8,nation_costa_rica,50.000,active,active,7.32,0.00
8,nation_nicaragua,50.000,active,active,5.88,0.00
9,nation_costa_rica,50.000,active,active,7.86,0.00
9,nation_nicaragua,50.000,active,active,6.24,0.00
10,nation_costa_rica,50.000,active,active,8.40,0.00
10,nation_nicaragua,50.000,active,active,6.60,0.00
