tick,nation_id,trust,inactivity_tier,activity_tier,wealth_stock,debt_balance
0,nation_costa_rica,50.000,active,active,50.00,0.00
0,nation_nicaragua,50.000,active,active,0.00,0.00
0,nation_honduras,50.000,active,active,0.00,0.00
0,nation_guatemala,50.000,active,active,0.00,0.00
0,nation_panama,50.000,active,active,0.00,0.00
1,nation_costa_rica,50.000,active,active,50.53,0.00
1,nation_nicaragua,50.000,active,active,0.36,0.00
1,nation_honduras,50.000,active,active,0.54,0.00
1,nation_guatemala,50.000,active,active,1.40,0.00
1,nation_panama,50.000,active,active,0.64,0.00
2,nation_costa_rica,50.000,active,active,51.06,0.00
2,nation_nicaragua,50.000,active,active,0.72,0.00
2,nation_honduras,50.000,active,active,1.08,0.00
2,nation_guatemala,50.000,active,active,2.80,0.00
2,nation_panama,50.000,active,active,1.28,0.00
3,nation_costa_rica,50.000,active,active,51.59,0.00
3,nation_nicaragua,50.000,active,active,1.08,0.00
3,nation_honduras,50.000,active,active,1.62,0.00
3,nation_guatemala,50.000,active,active,4.20,0.00
3,nation_panama,50.000,active,active,1.92,0.00
4,nation_costa_rica,50.000,active,active,52.12,0.00
4,nation_nicaragua,50.000,active,active,1.44,0.00
4,nation_honduras,50.000,active,active,2.16,0.00
4,nation_guatemala,50.000,active,active,5.60,0.00
4,nation_panama,50.000,active,active,2.56,0.00
5,nation_costa_rica,50.000,active,active,52.65,0.00
5,nation_nicaragua,50.000,active,active,1.80,0.00
5,nation_honduras,50.000,active,active,2.70,0.00
5,nation_guatemala,50.000,active,active,7.00,0.00
5,nation_panama,50.000,active,active,3.20,0.00
6,nation_costa_rica,50.000,active,active,53.18,0.00
6,nation_nicaragua,50.000,active,active,2.16,0.00
6,nation_honduras,50.000,active,active,3.24,0.00
6,nation_guatemala,50.000,active,active,8.40,0.00
6,nation_panama,50.000,active,active,3.84,0.00
7,nation_costa_rica,50.000,active,active,53.71,0.00
7,nation_nicaragua,50.000,active,active,2.52,0.00
7,nation_honduras,50.000,active,active,3.78,0.00
7,nation_guatemala,50.000,active,active,9.80,0.00
7,nation_panama,50.000,active,active,4.48,0.00
8,nation_costa_rica,50.000,active,active,54.24,0.00
8,nation_nicaragua,50.000,active,active,2.88,0.00
8,nation_honduras,50.000,active,active,4.32,0.00
8,nation_guatemala,50.000,active,active,11.20,0.00
8,nation_panama,50.000,active,active,5.12,0.00
9,nation_costa_rica,50.000,active,active,54.77,0.00
9,nation_nicaragua,50.000,active,active,3.24,0.00
9,nation_honduras,50.000,active,active,4.86,0.00
9,nation_guatemala,50.000,active,active,12.60,0.00
9,nation_panama,50.000,active,active,5.76,0.00
10,nation_costa_rica,50.000,active,active,55.30,0.00
10,nation_nicaragua,50.000,active,active,3.60,0.00
10,nation_honduras,50.000,active,active,5.40,0.00
10,nation_guatemala,50.000,active,active,14.00,0.00
10,nation_panama,50.000,active,active,6.40,0.00
