tick,nation_id,trust,inactivity_tier,activity_tier,wealth_stock,debt_balance
0,nation_a,50.000,active,active,0.00,0.00
0,nation_mexico,50.000,active,active,0.00,0.00
0,nation_guatemala,50.000,active,active,0.00,0.00
0,nation_belize,50.000,active,active,0.00,0.00
0,nation_honduras,50.000,active,active,0.00,0.00
1,nation_a,50.000,active,active,-2.02,2.02
1,nation_mexico,50.000,active,active,-1.30,1.30
1,nation_guatemala,50.000,active,active,-0.10,0.10
1,nation_belize,50.000,active,active,-1.26,1.26
1,nation_honduras,50.000,active,active,-1.96,1.96
2,nation_a,50.000,active,active,-4.04,6.06
2,nation_mexico,50.000,active,active,-2.60,3.90
2,nation_guatemala,50.000,active,active,-0.20,0.30
2,nation_belize,50.000,active,active,-2.52,3.78
2,nation_honduras,50.000,active,active,-3.92,5.88
3,nation_a,50.000,active,active,-6.06,12.12
3,nation_mexico,50.000,active,active,-3.90,7.80
3,nation_guatemala,50.000,active,active,-0.30,0.60
3,nation_belize,50.000,active,active,-3.78,7.56
3,nation_honduras,50.000,active,active,-5.88,11.76
4,nation_a,50.000,active,active,-8.08,20.20
4,nation_mexico,50.000,active,active,-5.20,13.00
4,nation_guatemala,50.000,active,active,-0.40,1.00
4,nation_belize,50.000,active,active,-5.04,12.60
4,nation_honduras,50.000,active,active,-7.84,19.60
5,nation_a,50.000,active,active,-10.10,30.30
5,nation_mexico,50.000,active,active,-6.50,19.50
5,nation_guatemala,50.000,active,active,-0.50,1.50
5,nation_belize,50.000,active,active,-6.30,18.90
5,nation_honduras,50.000,active,active,-9.80,29.40
6,nation_a,50.000,active,active,-12.12,42.42
6,nation_mexico,50.000,active,active,-7.80,27.30
6,nation_guatemala,50.000,active,active,-0.60,2.10
6,nation_belize,50.000,active,active,-7.56,26.46
6,nation_honduras,50.000,active,active,-11.76,41.16
