tick,nation_id,pop_stock,ind_stock,wealth_stock,army_size,culture_individualist,culture_progressive,culture_militaristic,culture_expansionist,culture_family
0,nation_a,0.00,0.00,0.00,,-0.200000,-0.200000,-0.100000,-0.300000,latin
0,nation_mexico,0.00,0.00,0.00,,-0.200000,-0.100000,-0.100000,0.100000,latin
0,nation_guatemala,0.00,0.00,0.00,,-0.400000,-0.500000,0.200000,0.100000,latin
0,nation_belize,0.00,0.00,0.00,,0.300000,0.400000,-0.600000,-0.500000,european
0,nation_honduras,0.00,0.00,0.00,,-0.400000,-0.400000,0.100000,-0.100000,latin
1,nation_a,0.72,0.48,-2.02,,-0.200000,-0.200000,-0.100000,-0.300000,latin
1,nation_mexico,2.00,0.80,-1.30,,-0.200000,-0.100000,-0.100000,0.100000,latin
1,nation_guatemala,3.92,1.12,-0.10,,-0.400000,-0.500000,0.200000,0.100000,latin
1,nation_belize,0.18,0.12,-1.26,,0.300000,0.400000,-0.600000,-0.500000,european
1,nation_honduras,1.62,0.54,-1.96,,-0.400000,-0.400000,0.100000,-0.100000,latin
2,nation_a,1.44,0.96,-4.04,,-0.200000,-0.200000,-0.100000,-0.300000,latin
2,nation_mexico,4.00,1.60,-2.60,,-0.200000,-0.100000,-0.100000,0.100000,latin
2,nation_guatemala,7.84,2.24,-0.20,,-0.400000,-0.500000,0.200000,0.100000,latin
2,nation_belize,0.36,0.24,-2.52,,0.300000,0.400000,-0.600000,-0.500000,european
2,nation_honduras,3.24,1.08,-3.92,,-0.400000,-0.400000,0.100000,-0.100000,latin
3,nation_a,2.16,1.44,-6.06,,-0.200000,-0.200000,-0.100000,-0.300000,latin
3,nation_mexico,6.00,2.40,-3.90,,-0.200000,-0.100000,-0.100000,0.100000,latin
3,nation_guatemala,11.76,3.36,-0.30,,-0.400000,-0.500000,0.200000,0.100000,latin
3,nation_belize,0.54,0.36,-3.78,,0.300000,0.400000,-0.600000,-0.500000,european
3,nation_honduras,4.86,1.62,-5.88,,-0.400000,-0.400000,0.100000,-0.100000,latin
4,nation_a,2.88,1.92,-8.08,,-0.200000,-0.200000,-0.100000,-0.300000,latin
4,nation_mexico,8.00,3.20,-5.20,,-0.200000,-0.100000,-0.100000,0.100000,latin
4,nation_guatemala,15.68,4.48,-0.40,,-0.400000,-0.500000,0.200000,0.100000,latin
4,nation_belize,0.72,0.48,-5.04,,0.300000,0.400000,-0.600000,-0.500000,european
4,nation_honduras,6.48,2.16,-7.84,,-0.400000,-0.400000,0.100000,-0.100000,latin
5,nation_a,3.60,2.40,-10.10,,-0.200000,-0.200000,-0.100000,-0.300000,latin
5,nation_mexico,10.00,4.00,-6.50,,-0.200000,-0.100000,-0.100000,0.100000,latin
5,nation_guatemala,19.60,5.60,-0.50,,-0.400000,-0.500000,0.200000,0.100000,latin
5,nation_belize,0.90,0.60,-6.30,,0.300000,0.400000,-0.600000,-0.500000,european
5,nation_honduras,8.10,2.70,-9.80,,-0.400000,-0.400000,0.100000,-0.100000,latin
6,nation_a,4.32,2.88,-12.12,,-0.200000,-0.200000,-0.100000,-0.300000,latin
6,nation_mexico,12.00,4.80,-7.80,,-0.200000,-0.100000,-0.100000,0.100000,latin
6,nation_guatemala,23.52,6.72,-0.60,,-0.400000,-0.500000,0.200000,0.100000,latin
6,nation_belize,1.08,0.72,-7.56,,0.300000,0.400000,-0.600000,-0.500000,european
6,nation_honduras,9.72,3.24,-11.76,,-0.400000,-0.400000,0.100000,-0.100000,latin
