tick,nation_id,trust,inactivity_tier,wealth_stock,debt_balance
0,nation_costa_rica,50.000,active,50.00,0.00
0,nation_guatemala,50.000,active,50.00,0.00
0,nation_honduras,50.000,active,0.00,0.00
0,nation_nicaragua,50.000,active,0.00,0.00
0,nation_panama,50.000,active,0.00,0.00
1,nation_costa_rica,50.000,active,39.50,0.00
1,nation_guatemala,50.000,active,47.50,0.00
1,nation_honduras,50.000,active,0.50,0.00
1,nation_nicaragua,50.000,active,0.50,0.00
1,nation_panama,50.000,active,5.50,0.00
2,nation_costa_rica,50.000,active,44.00,0.00
2,nation_guatemala,50.000,active,50.00,0.00
2,nation_honduras,50.000,active,1.00,0.00
2,nation_nicaragua,50.000,active,1.00,0.00
2,nation_panama,50.000,active,11.00,0.00
3,nation_costa_rica,50.000,active,48.50,0.00
3,nation_guatemala,50.000,active,52.50,0.00
3,nation_honduras,50.000,active,1.50,0.00
3,nation_nicaragua,50.000,active,1.50,0.00
3,nation_panama,50.000,active,16.50,0.00
4,nation_costa_rica,50.000,active,53.00,0.00
4,nation_guatemala,50.000,active,55.00,0.00
4,nation_honduras,50.000,active,2.00,0.00
4,nation_nicaragua,50.000,active,2.00,0.00
4,nation_panama,50.000,active,22.00,0.00
5,nation_costa_rica,50.000,active,57.50,0.00
5,nation_guatemala,50.000,active,57.50,0.00
5,nation_honduras,50.000,active,2.50,0.00
5,nation_nicaragua,50.000,active,2.50,0.00
5,nation_panama,50.000,active,27.50,0.00
6,nation_costa_rica,30.000,active,61.00,0.00
6,nation_guatemala,50.000,active,75.00,0.00
6,nation_honduras,50.000,active,3.00,0.00
6,nation_nicaragua,50.000,active,3.00,0.00
6,nation_panama,50.000,active,33.00,0.00
7,nation_costa_rica,30.000,active,64.50,0.00
7,nation_guatemala,50.000,active,77.50,0.00
7,nation_honduras,50.000,active,3.50,0.00
7,nation_nicaragua,50.000,active,3.50,0.00
7,nation_panama,50.000,active,38.50,0.00
8,nation_costa_rica,30.000,active,68.00,0.00
8,nation_guatemala,50.000,active,80.00,0.00
8,nation_honduras,50.000,active,4.00,0.00
8,nation_nicaragua,50.000,active,4.00,0.00
8,nation_panama,50.000,active,44.00,0.00
9,nation_costa_rica,30.000,active,71.50,0.00
9,nation_guatemala,50.000,active,82.50,0.00
9,nation_honduras,50.000,active,4.50,0.00
9,nation_nicaragua,50.000,active,4.50,0.00
9,nation_panama,50.000,active,49.50,0.00
10,nation_costa_rica,30.000,active,75.00,0.00
10,nation_guatemala,50.000,active,85.00,0.00
10,nation_honduras,50.000,active,5.00,0.00
10,nation_nicaragua,50.000,active,5.00,0.00
10,nation_panama,50.000,active,55.00,0.00
11,nation_costa_rica,30.000,active,78.50,0.00
11,nation_guatemala,50.000,active,87.50,0.00
11,nation_honduras,50.000,active,5.50,0.00
11,nation_nicaragua,50.000,active,5.50,0.00
11,nation_panama,50.000,active,60.50,0.00
12,nation_costa_rica,36.000,active,83.00,0.00
12,nation_guatemala,55.500,active,90.00,0.00
12,nation_honduras,50.000,active,6.00,0.00
12,nation_nicaragua,50.000,active,6.00,0.00
12,nation_panama,50.000,active,66.00,0.00
