tick,nation_id,trust,inactivity_tier,activity_tier,wealth_stock,debt_balance
0,nation_costa_rica,50.000,active,active,50.00,0.00
0,nation_guatemala,50.000,active,active,50.00,0.00
0,nation_honduras,50.000,active,active,0.00,0.00
0,nation_nicaragua,50.000,active,active,0.00,0.00
0,nation_panama,50.000,active,active,0.00,0.00
1,nation_costa_rica,50.000,active,active,39.50,0.00
1,nation_guatemala,50.000,active,active,47.50,0.00
1,nation_honduras,50.000,active,active,0.50,0.00
1,nation_nicaragua,50.000,active,active,0.50,0.00
1,nation_panama,50.000,active,active,5.50,0.00
2,nation_costa_rica,50.000,active,active,44.00,0.00
2,nation_guatemala,50.000,active,active,50.00,0.00
2,nation_honduras,50.000,active,active,1.00,0.00
2,nation_nicaragua,50.000,active,active,1.00,0.00
2,nation_panama,50.000,active,active,11.00,0.00
3,nation_costa_rica,50.000,active,active,48.50,0.00
3,nation_guatemala,50.000,active,active,52.50,0.00
3,nation_honduras,50.000,active,active,1.50,0.00
3,nation_nicaragua,50.000,active,active,1.50,0.00
3,nation_panama,50.000,active,active,16.50,0.00
4,nation_costa_rica,50.000,active,active,53.00,0.00
4,nation_guatemala,50.000,active,active,55.00,0.00
4,nation_honduras,50.000,active,active,2.00,0.00
4,nation_nicaragua,50.000,active,active,2.00,0.00
4,nation_panama,50.000,active,active,22.00,0.00
5,nation_costa_rica,61.500,active,active,57.50,0.00
5,nation_guatemala,61.500,active,active,57.50,0.00
5,nation_honduras,50.000,active,active,2.50,0.00
5,nation_nicaragua,50.000,active,active,2.50,0.00
5,nation_panama,50.000,active,active,27.50,0.00
6,nation_costa_rica,61.000,active,active,62.00,0.00
6,nation_guatemala,61.000,active,active,60.00,0.00
6,nation_honduras,50.000,active,active,3.00,0.00
6,nation_nicaragua,50.000,active,active,3.00,0.00
6,nation_panama,50.000,active,active,33.00,0.00
7,nation_costa_rica,60.500,active,active,66.50,0.00
7,nation_guatemala,60.500,active,active,62.50,0.00
7,nation_honduras,50.000,active,active,3.50,0.00
7,nation_nicaragua,50.000,active,active,3.50,0.00
7,nation_panama,50.000,active,active,38.50,0.00
8,nation_costa_rica,60.000,active,active,71.00,0.00
8,nation_guatemala,60.000,active,active,65.00,0.00
8,nation_honduras,50.000,active,active,4.00,0.00
8,nation_nicaragua,50.000,active,active,4.00,0.00
8,nation_panama,50.000,active,active,44.00,0.00
9,nation_costa_rica,59.500,active,active,75.50,0.00
9,nation_guatemala,59.500,active,active,67.50,0.00
9,nation_honduras,50.000,active,active,4.50,0.00
9,nation_nicaragua,50.000,active,active,4.50,0.00
9,nation_panama,50.000,active,active,49.50,0.00
10,nation_costa_rica,59.000,active,active,80.00,0.00
10,nation_guatemala,59.000,active,active,70.00,0.00
10,nation_honduras,50.000,active,active,5.00,0.00
10,nation_nicaragua,50.000,active,active,5.00,0.00
10,nation_panama,50.000,active,active,55.00,0.00
11,nation_costa_rica,58.500,active,active,84.50,0.00
11,nation_guatemala,58.500,active,active,72.50,0.00
11,nation_honduras,50.000,active,active,5.50,0.00
11,nation_nicaragua,50.000,active,active,5.50,0.00
11,nation_panama,50.000,active,active,60.50,0.00
12,nation_costa_rica,58.000,active,active,89.00,0.00
12,nation_guatemala,58.000,active,active,75.00,0.00
12,nation_honduras,50.000,active,active,6.00,0.00
12,nation_nicaragua,50.000,active,active,6.00,0.00
12,nation_panama,50.000,active,active,66.00,0.00
13,nation_costa_rica,57.500,active,active,93.50,0.00
13,nation_guatemala,57.500,active,active,77.50,0.00
13,nation_honduras,50.000,active,active,6.50,0.00
13,nation_nicaragua,50.000,active,active,6.50,0.00
13,nation_panama,50.000,active,active,71.50,0.00
14,nation_costa_rica,57.000,active,active,98.00,0.00
14,nation_guatemala,57.000,active,active,80.00,0.00
14,nation_honduras,50.000,active,active,7.00,0.00
14,nation_nicaragua,50.000,active,active,7.00,0.00
14,nation_panama,50.000,active,active,77.00,0.00
15,nation_costa_rica,56.500,active,active,102.50,0.00
15,nation_guatemala,56.500,active,active,82.50,0.00
15,nation_honduras,50.000,active,active,7.50,0.00
15,nation_nicaragua,50.000,active,active,7.50,0.00
15,nation_panama,50.000,active,active,82.50,0.00
