tick,nation_id,trust,inactivity_tier,activity_tier,wealth_stock,debt_balance
0,nation_costa_rica,50.000,active,active,0.00,0.00
0,nation_guatemala,50.000,active,active,0.00,0.00
0,nation_panama,50.000,active,active,0.00,0.00
1,nation_costa_rica,50.000,active,active,8.50,0.00
1,nation_guatemala,50.000,active,active,2.50,0.00
1,nation_panama,50.000,active,active,5.50,0.00
2,nation_costa_rica,50.000,active,active,20.00,0.00
2,nation_guatemala,50.000,active,active,5.00,0.00
2,nation_panama,50.000,active,active,11.00,0.00
3,nation_costa_rica,50.000,active,active,34.50,0.00
3,nation_guatemala,50.000,active,active,7.50,0.00
3,nation_panama,50.000,active,active,16.50,0.00
4,nation_costa_rica,50.000,active,active,49.00,0.00
4,nation_guatemala,50.000,active,active,10.00,0.00
4,nation_panama,50.000,active,active,22.00,0.00
5,nation_costa_rica,50.000,active,active,63.50,0.00
5,nation_guatemala,50.000,active,active,12.50,0.00
5,nation_panama,50.000,active,active,27.50,0.00
6,nation_costa_rica,50.000,active,active,78.00,0.00
6,nation_guatemala,50.000,active,active,15.00,0.00
6,nation_panama,50.000,active,active,33.00,0.00
7,nation_costa_rica,50.000,active,active,92.50,0.00
7,nation_guatemala,50.000,active,active,17.50,0.00
7,nation_panama,50.000,active,active,38.50,0.00
8,nation_costa_rica,50.000,active,active,107.00,0.00
8,nation_guatemala,50.000,active,active,20.00,0.00
8,nation_panama,50.000,active,active,44.00,0.00
9,nation_costa_rica,50.000,active,active,121.50,0.00
9,nation_guatemala,50.000,active,active,22.50,0.00
9,nation_panama,50.000,active,active,49.50,0.00
10,nation_costa_rica,50.000,active,active,136.00,0.00
10,nation_guatemala,50.000,active,active,25.00,0.00
10,nation_panama,50.000,active,active,55.00,0.00
11,nation_costa_rica,50.000,active,active,150.50,0.00
11,nation_guatemala,50.000,active,active,27.50,0.00
11,nation_panama,50.000,active,active,60.50,0.00
12,nation_costa_rica,50.000,active,active,165.00,0.00
12,nation_guatemala,50.000,active,active,30.00,0.00
12,nation_panama,50.000,active,active,66.00,0.00
13,nation_costa_rica,50.000,active,active,179.50,0.00
13,nation_guatemala,50.000,active,active,32.50,0.00
13,nation_panama,50.000,active,active,71.50,0.00
14,nation_costa_rica,50.000,active,active,194.00,0.00
14,nation_guatemala,50.000,active,active,35.00,0.00
14,nation_panama,50.000,active,active,77.00,0.00
15,nation_costa_rica,50.000,active,active,208.50,0.00
15,nation_guatemala,50.000,active,active,37.50,0.00
15,nation_panama,50.000,active,active,82.50,0.00
16,nation_costa_rica,50.000,active,active,223.00,0.00
16,nation_guatemala,50.000,active,active,40.00,0.00
16,nation_panama,50.000,active,active,88.00,0.00
17,nation_costa_rica,50.000,active,active,237.50,0.00
17,nation_guatemala,50.000,active,active,42.50,0.00
17,nation_panama,50.000,active,active,93.50,0.00
18,nation_costa_rica,50.000,active,active,252.00,0.00
18,nation_guatemala,50.000,active,active,45.00,0.00
18,nation_panama,50.000,active,active,99.00,0.00
19,nation_costa_rica,50.000,active,active,266.50,0.00
19,nation_guatemala,50.000,active,active,47.50,0.00
19,nation_panama,50.000,active,active,104.50,0.00
20,nation_costa_rica,50.000,active,active,281.00,0.00
20,nation_guatemala,50.000,active,active,50.00,0.00
20,nation_panama,50.000,active,active,110.00,0.00
21,nation_costa_rica,50.000,active,active,295.50,0.00
21,nation_guatemala,50.000,active,active,52.50,0.00
21,nation_panama,50.000,active,active,115.50,0.00
22,nation_costa_rica,50.000,active,active,310.00,0.00
22,nation_guatemala,50.000,active,active,55.00,0.00
22,nation_panama,50.000,active,active,121.00,0.00
23,nation_costa_rica,50.000,active,active,324.50,0.00
23,nation_guatemala,50.000,active,active,57.50,0.00
23,nation_panama,50.000,active,active,126.50,0.00
24,nation_costa_rica,50.000,active,active,339.00,0.00
24,nation_guatemala,50.000,active,active,60.00,0.00
24,nation_panama,50.000,active,active,132.00,0.00
25,nation_costa_rica,50.000,active,active,353.50,0.00
25,nation_guatemala,50.000,active,active,62.50,0.00
25,nation_panama,50.000,active,active,137.50,0.00
26,nation_costa_rica,50.000,active,active,368.00,0.00
26,nation_guatemala,50.000,active,active,65.00,0.00
26,nation_panama,50.000,active,active,143.00,0.00
27,nation_costa_rica,50.000,active,active,382.50,0.00
27,nation_guatemala,50.000,active,active,67.50,0.00
27,nation_panama,50.000,active,active,148.50,0.00
28,nation_costa_rica,50.000,active,active,397.00,0.00
28,nation_guatemala,50.000,active,active,70.00,0.00
28,nation_panama,50.000,active,active,154.00,0.00
29,nation_costa_rica,50.000,active,active,411.50,0.00
29,nation_guatemala,50.000,active,active,72.50,0.00
29,nation_panama,50.000,active,active,159.50,0.00
30,nation_costa_rica,50.000,active,active,426.00,0.00
30,nation_guatemala,50.000,active,active,75.00,0.00
30,nation_panama,50.000,active,active,165.00,0.00
