tick,nation_id,trust,inactivity_tier,activity_tier,wealth_stock,debt_balance
0,nation_costa_rica,50.000,active,active,50.00,0.00
0,nation_nicaragua,50.000,active,active,50.00,0.00
0,nation_guatemala,50.000,active,active,50.00,0.00
0,nation_belize,50.000,active,active,50.00,0.00
0,nation_honduras,50.000,active,active,0.00,0.00
1,nation_costa_rica,50.000,active,active,50.70,0.00
1,nation_nicaragua,50.000,active,active,50.36,0.00
1,nation_guatemala,50.000,active,active,51.40,0.00
1,nation_belize,50.000,active,active,50.24,0.00
1,nation_honduras,50.000,active,active,0.54,0.00
2,nation_costa_rica,50.000,active,active,51.40,0.00
2,nation_nicaragua,50.000,active,active,50.72,0.00
2,nation_guatemala,50.000,active,active,52.80,0.00
2,nation_belize,50.000,active,active,50.48,0.00
2,nation_honduras,50.000,active,active,1.08,0.00
3,nation_costa_rica,50.000,active,active,52.10,0.00
3,nation_nicaragua,50.000,active,active,51.08,0.00
3,nation_guatemala,50.000,active,active,54.20,0.00
3,nation_belize,50.000,active,active,50.72,0.00
3,nation_honduras,50.000,active,active,1.62,0.00
4,nation_costa_rica,50.000,active,active,52.80,0.00
4,nation_nicaragua,50.000,active,active,51.44,0.00
4,nation_guatemala,50.000,active,active,55.60,0.00
4,nation_belize,50.000,active,active,50.96,0.00
4,nation_honduras,50.000,active,active,2.16,0.00
5,nation_costa_rica,50.000,active,active,53.50,0.00
5,nation_nicaragua,50.000,active,active,51.80,0.00
5,nation_guatemala,50.000,active,active,57.00,0.00
5,nation_belize,50.000,active,active,51.20,0.00
5,nation_honduras,50.000,active,active,2.70,0.00
6,nation_costa_rica,50.000,active,active,54.20,0.00
6,nation_nicaragua,50.000,active,active,52.16,0.00
6,nation_guatemala,50.000,active,active,58.40,0.00
6,nation_belize,50.000,active,active,51.44,0.00
6,nation_honduras,50.000,active,active,3.24,0.00
7,nation_costa_rica,50.000,active,active,54.90,0.00
7,nation_nicaragua,50.000,active,active,52.52,0.00
7,nation_guatemala,50.000,active,active,59.80,0.00
7,nation_belize,50.000,active,active,51.68,0.00
7,nation_honduras,50.000,active,active,3.78,0.00
8,nation_costa_rica,50.000,active,active,55.60,0.00
8,nation_nicaragua,50.000,active,active,52.88,0.00
8,nation_guatemala,50.000,active,active,61.20,0.00
8,nation_belize,50.000,active,active,51.92,0.00
8,nation_honduras,50.000,active,active,4.32,0.00
9,nation_costa_rica,50.000,active,active,56.30,0.00
9,nation_nicaragua,50.000,active,active,53.24,0.00
9,nation_guatemala,50.000,active,active,62.60,0.00
9,nation_belize,50.000,active,active,52.16,0.00
9,nation_honduras,50.000,active,active,4.86,0.00
10,nation_costa_rica,54.500,active,active,57.00,0.00
10,nation_nicaragua,54.500,active,active,53.60,0.00
10,nation_guatemala,54.500,active,active,64.00,0.00
10,nation_belize,54.500,active,active,52.40,0.00
10,nation_honduras,50.000,active,active,5.40,0.00
