tick,nation_id,pop_stock,ind_stock,wealth_stock,army_size,culture_individualist,culture_progressive,culture_militaristic,culture_expansionist,culture_family
0,nation_costa_rica,100.00,0.00,50.00,,0.100000,0.300000,-0.800000,-0.600000,latin
0,nation_nicaragua,100.00,0.00,50.00,,-0.300000,0.000000,-0.100000,-0.100000,latin
0,nation_guatemala,100.00,0.00,50.00,,-0.400000,-0.500000,0.200000,0.100000,latin
0,nation_belize,100.00,0.00,50.00,,0.300000,0.400000,-0.600000,-0.500000,european
0,nation_honduras,0.00,0.00,0.00,,-0.400000,-0.400000,0.100000,-0.100000,latin
1,nation_costa_rica,100.50,0.50,50.70,,0.100000,0.300000,-0.800000,-0.600000,latin
1,nation_nicaragua,100.72,0.24,50.36,,-0.300000,0.000000,-0.100000,-0.100000,latin
1,nation_guatemala,103.92,1.12,51.40,,-0.400000,-0.500000,0.200000,0.100000,latin
1,nation_belize,100.18,0.12,50.24,,0.300000,0.400000,-0.600000,-0.500000,european
1,nation_honduras,1.62,0.54,0.54,,-0.400000,-0.400000,0.100000,-0.100000,latin
2,nation_costa_rica,121.00,1.00,51.40,,0.100000,0.300000,-0.800000,-0.600000,latin
2,nation_nicaragua,81.44,0.48,50.72,,-0.300000,0.000000,-0.100000,-0.100000,latin
2,nation_guatemala,127.84,2.24,52.80,,-0.400000,-0.500000,0.200000,0.100000,latin
2,nation_belize,80.36,0.24,50.48,,0.300000,0.400000,-0.600000,-0.500000,european
2,nation_honduras,3.24,1.08,1.08,,-0.400000,-0.400000,0.100000,-0.100000,latin
3,nation_costa_rica,121.50,1.50,52.10,,0.100000,0.300000,-0.800000,-0.600000,latin
3,nation_nicaragua,82.16,0.72,51.08,,-0.300000,0.000000,-0.100000,-0.100000,latin
3,nation_guatemala,131.76,3.36,54.20,,-0.400000,-0.500000,0.200000,0.100000,latin
3,nation_belize,80.54,0.36,50.72,,0.300000,0.400000,-0.600000,-0.500000,european
3,nation_honduras,4.86,1.62,1.62,,-0.400000,-0.400000,0.100000,-0.100000,latin
4,nation_costa_rica,122.00,2.00,52.80,,0.100000,0.300000,-0.800000,-0.600000,latin
4,nation_nicaragua,82.88,0.96,51.44,,-0.300000,0.000000,-0.100000,-0.100000,latin
4,nation_guatemala,135.68,4.48,55.60,,-0.400000,-0.500000,0.200000,0.100000,latin
4,nation_belize,80.72,0.48,50.96,,0.300000,0.400000,-0.600000,-0.500000,european
4,nation_honduras,6.48,2.16,2.16,,-0.400000,-0.400000,0.100000,-0.100000,latin
5,nation_costa_rica,122.50,2.50,53.50,,0.100000,0.300000,-0.800000,-0.600000,latin
5,nation_nicaragua,83.60,1.20,51.80,,-0.300000,0.000000,-0.100000,-0.100000,latin
5,nation_guatemala,139.60,5.60,57.00,,-0.400000,-0.500000,0.200000,0.100000,latin
5,nation_belize,80.90,0.60,51.20,,0.300000,0.400000,-0.600000,-0.500000,european
5,nation_honduras,8.10,2.70,2.70,,-0.400000,-0.400000,0.100000,-0.100000,latin
6,nation_costa_rica,123.00,3.00,54.20,,0.100000,0.300000,-0.800000,-0.600000,latin
6,nation_nicaragua,84.32,1.44,52.16,,-0.300000,0.000000,-0.100000,-0.100000,latin
6,nation_guatemala,143.52,6.72,58.40,,-0.400000,-0.500000,0.200000,0.100000,latin
6,nation_belize,81.08,0.72,51.44,,0.300000,0.400000,-0.600000,-0.500000,european
6,nation_honduras,9.72,3.24,3.24,,-0.400000,-0.400000,0.100000,-0.100000,latin
7,nation_costa_rica,123.50,3.50,54.90,,0.100000,0.300000,-0.800000,-0.600000,latin
7,nation_nicaragua,85.04,1.68,52.52,,-0.300000,0.000000,-0.100000,-0.100000,latin
7,nation_guatemala,147.44,7.84,59.80,,-0.400000,-0.500000,0.200000,0.100000,latin
7,nation_belize,81.26,0.84,51.68,,0.300000,0.400000,-0.600000,-0.500000,european
7,nation_honduras,11.34,3.78,3.78,,-0.400000,-0.400000,0.100000,-0.100000,latin
8,nation_costa_rica,124.00,4.00,55.60,,0.100000,0.300000,-0.800000,-0.600000,latin
8,nation_nicaragua,85.76,1.92,52.88,,-0.300000,0.000000,-0.100000,-0.100000,latin
8,nation_guatemala,151.36,8.96,61.20,,-0.400000,-0.500000,0.200000,0.100000,latin
8,nation_belize,81.44,0.96,51.92,,0.300000,0.400000,-0.600000,-0.500000,european
8,nation_honduras,12.96,4.32,4.32,,-0.400000,-0.400000,0.100000,-0.100000,latin
9,nation_costa_rica,124.50,4.50,56.30,,0.100000,0.300000,-0.800000,-0.600000,latin
9,nation_nicaragua,86.48,2.16,53.24,,-0.300000,0.000000,-0.100000,-0.100000,latin
9,nation_guatemala,155.28,10.08,62.60,,-0.400000,-0.500000,0.200000,0.100000,latin
9,nation_belize,81.62,1.08,52.16,,0.300000,0.400000,-0.600000,-0.500000,european
9,nation_honduras,14.58,4.86,4.86,,-0.400000,-0.400000,0.100000,-0.100000,latin
10,nation_costa_rica,125.00,5.00,57.00,,0.100000,0.300000,-0.800000,-0.600000,latin
10,nation_nicaragua,87.20,2.40,53.60,,-0.300000,0.000000,-0.100000,-0.100000,latin
10,nation_guatemala,159.20,11.20,64.00,,-0.400000,-0.500000,0.200000,0.100000,latin
10,nation_belize,81.80,1.20,52.40,,0.300000,0.400000,-0.600000,-0.500000,european
10,nation_honduras,16.20,5.40,5.40,,-0.400000,-0.400000,0.100000,-0.100000,latin
