tick,treaty_id,status,party_a,party_b,clauses,term_ticks,tick_ends,total_collateral,collateral_a,collateral_b,escrow_a,escrow_b,refund_a,refund_b
1,1,active,nation_nicaragua,nation_costa_rica,"population_transfer",10,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,2,active,nation_belize,nation_guatemala,"population_transfer",10,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,1,active,nation_nicaragua,nation_costa_rica,"population_transfer",10,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,2,active,nation_belize,nation_guatemala,"population_transfer",10,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,1,active,nation_nicaragua,nation_costa_rica,"population_transfer",10,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,2,active,nation_belize,nation_guatemala,"population_transfer",10,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,1,active,nation_nicaragua,nation_costa_rica,"population_transfer",10,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,2,active,nation_belize,nation_guatemala,"population_transfer",10,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,1,active,nation_nicaragua,nation_costa_rica,"population_transfer",10,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,2,active,nation_belize,nation_guatemala,"population_transfer",10,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,1,active,nation_nicaragua,nation_costa_rica,"population_transfer",10,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,2,active,nation_belize,nation_guatemala,"population_transfer",10,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,1,active,nation_nicaragua,nation_costa_rica,"population_transfer",10,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,2,active,nation_belize,nation_guatemala,"population_transfer",10,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,1,active,nation_nicaragua,nation_costa_rica,"population_transfer",10,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,2,active,nation_belize,nation_guatemala,"population_transfer",10,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,1,active,nation_nicaragua,nation_costa_rica,"population_transfer",10,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,2,active,nation_belize,nation_guatemala,"population_transfer",10,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,1,expired,nation_nicaragua,nation_costa_rica,"population_transfer",10,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,2,expired,nation_belize,nation_guatemala,"population_transfer",10,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
