tick,nation_id,trust,inactivity_tier,activity_tier,wealth_stock,debt_balance
0,nation_costa_rica,50.000,active,active,50.00,0.00
0,nation_nicaragua,50.000,active,active,0.00,0.00
0,nation_honduras,50.000,active,active,10.00,0.00
0,nation_guatemala,50.000,active,active,0.00,0.00
0,nation_panama,50.000,active,active,0.00,0.00
1,nation_costa_rica,50.000,active,active,46.70,0.00
1,nation_nicaragua,50.000,active,active,-8.54,8.54
1,nation_honduras,50.000,active,active,15.24,0.00
1,nation_guatemala,50.000,active,active,-1.10,1.10
1,nation_panama,50.000,active,active,-1.86,1.86
2,nation_costa_rica,50.000,active,active,43.76,0.00
2,nation_nicaragua,50.000,active,active,-17.39,25.93
2,nation_honduras,50.000,active,active,20.06,0.00
2,nation_guatemala,50.000,active,active,-2.20,3.30
2,nation_panama,50.000,active,active,-3.72,5.58
3,nation_costa_rica,50.000,active,active,40.82,0.00
3,nation_nicaragua,50.000,active,active,-26.24,52.17
3,nation_honduras,50.000,active,active,24.50,0.00
3,nation_guatemala,50.000,active,active,-3.30,6.60
3,nation_panama,50.000,active,active,-5.58,11.16
4,nation_costa_rica,50.000,active,active,37.88,0.00
4,nation_nicaragua,50.000,active,active,-35.09,87.26
4,nation_honduras,50.000,active,active,28.58,0.00
4,nation_guatemala,50.000,active,active,-4.40,11.00
4,nation_panama,50.000,active,active,-7.44,18.60
5,nation_costa_rica,54.500,active,active,34.94,0.00
5,nation_nicaragua,54.500,active,active,-43.94,131.20
5,nation_honduras,50.000,active,active,32.33,0.00
5,nation_guatemala,50.000,active,active,-5.50,16.50
5,nation_panama,50.000,active,active,-9.30,27.90
6,nation_costa_rica,54.000,active,active,32.00,0.00
6,nation_nicaragua,54.000,active,active,-52.79,183.99
6,nation_honduras,50.000,active,active,35.78,0.00
6,nation_guatemala,50.000,active,active,-6.60,23.10
6,nation_panama,50.000,active,active,-11.16,39.06
7,nation_costa_rica,53.500,active,active,29.06,0.00
7,nation_nicaragua,53.500,active,active,-61.64,245.63
7,nation_honduras,50.000,active,active,38.96,0.00
7,nation_guatemala,50.000,active,active,-7.70,30.80
7,nation_panama,50.000,active,active,-13.02,52.08
8,nation_costa_rica,53.000,active,active,26.12,0.00
8,nation_nicaragua,53.000,active,active,-70.49,316.12
8,nation_honduras,50.000,active,active,41.88,0.00
8,nation_guatemala,50.000,active,active,-8.80,39.60
8,nation_panama,50.000,active,active,-14.88,66.96
9,nation_costa_rica,52.500,active,active,23.18,0.00
9,nation_nicaragua,52.500,active,active,-79.34,395.46
9,nation_honduras,50.000,active,active,44.57,0.00
9,nation_guatemala,50.000,active,active,-9.90,49.50
9,nation_panama,50.000,active,active,-16.74,83.70
10,nation_costa_rica,52.000,active,active,20.24,0.00
10,nation_nicaragua,52.000,active,active,-88.19,483.65
10,nation_honduras,50.000,active,active,47.05,0.00
10,nation_guatemala,50.000,active,active,-11.00,60.50
10,nation_panama,50.000,active,active,-18.60,102.30
