tick,nation_id,pop_stock,ind_stock,wealth_stock,army_size,culture_individualist,culture_progressive,culture_militaristic,culture_expansionist,culture_family
0,nation_costa_rica,0.00,0.00,50.00,,0.100000,0.300000,-0.800000,-0.600000,latin
0,nation_nicaragua,0.00,0.00,0.00,,-0.300000,0.000000,-0.100000,-0.100000,latin
0,nation_honduras,0.00,0.00,10.00,,-0.400000,-0.400000,0.100000,-0.100000,latin
0,nation_guatemala,0.00,0.00,0.00,,-0.400000,-0.500000,0.200000,0.100000,latin
0,nation_panama,0.00,0.00,0.00,,0.100000,0.200000,-0.400000,-0.300000,latin
1,nation_costa_rica,0.50,0.50,46.70,,0.100000,0.300000,-0.800000,-0.600000,latin
1,nation_nicaragua,0.72,0.24,-8.54,,-0.300000,0.000000,-0.100000,-0.100000,latin
1,nation_honduras,1.62,0.54,15.24,,-0.400000,-0.400000,0.100000,-0.100000,latin
1,nation_guatemala,3.92,1.12,-1.10,,-0.400000,-0.500000,0.200000,0.100000,latin
1,nation_panama,0.32,0.32,-1.86,,0.100000,0.200000,-0.400000,-0.300000,latin
2,nation_costa_rica,1.72,1.24,43.76,,-0.036805,0.197396,-0.560591,-0.428994,latin
2,nation_nicaragua,0.72,0.24,-17.39,,0.000000,0.000000,0.000000,0.000000,
2,nation_honduras,3.24,1.08,20.06,,-0.400000,-0.400000,0.100000,-0.100000,latin
2,nation_guatemala,7.84,2.24,-2.20,,-0.400000,-0.500000,0.200000,0.100000,latin
2,nation_panama,0.64,0.64,-3.72,,0.100000,0.200000,-0.400000,-0.300000,latin
3,nation_costa_rica,2.94,1.98,40.82,,-0.036979,0.197266,-0.560287,-0.428776,latin
3,nation_nicaragua,0.72,0.24,-26.24,,0.000000,0.000000,0.000000,0.000000,
3,nation_honduras,4.86,1.62,24.50,,-0.400000,-0.400000,0.100000,-0.100000,latin
3,nation_guatemala,11.76,3.36,-3.30,,-0.400000,-0.500000,0.200000,0.100000,latin
3,nation_panama,0.96,0.96,-5.58,,0.100000,0.200000,-0.400000,-0.300000,latin
4,nation_costa_rica,4.16,2.72,37.88,,-0.037221,0.197085,-0.559864,-0.428474,latin
4,nation_nicaragua,0.72,0.24,-35.09,,0.000000,0.000000,0.000000,0.000000,
4,nation_honduras,6.48,2.16,28.58,,-0.400000,-0.400000,0.100000,-0.100000,latin
4,nation_guatemala,15.68,4.48,-4.40,,-0.400000,-0.500000,0.200000,0.100000,latin
4,nation_panama,1.28,1.28,-7.44,,0.100000,0.200000,-0.400000,-0.300000,latin
5,nation_costa_rica,5.38,3.46,34.94,,-0.037520,0.196860,-0.559340,-0.428100,latin
5,nation_nicaragua,0.72,0.24,-43.94,,0.000000,0.000000,0.000000,0.000000,
5,nation_honduras,8.10,2.70,32.33,,-0.400000,-0.400000,0.100000,-0.100000,latin
5,nation_guatemala,19.60,5.60,-5.50,,-0.400000,-0.500000,0.200000,0.100000,latin
5,nation_panama,1.60,1.60,-9.30,,0.100000,0.200000,-0.400000,-0.300000,latin
6,nation_costa_rica,6.60,4.20,32.00,,-0.037870,0.196598,-0.558728,-0.427663,latin
6,nation_nicaragua,0.72,0.24,-52.79,,0.000000,0.000000,0.000000,0.000000,
6,nation_honduras,9.72,3.24,35.78,,-0.400000,-0.400000,0.100000,-0.100000,latin
6,nation_guatemala,23.52,6.72,-6.60,,-0.400000,-0.500000,0.200000,0.100000,latin
6,nation_panama,1.92,1.92,-11.16,,0.100000,0.200000,-0.400000,-0.300000,latin
7,nation_costa_rica,7.82,4.94,29.06,,-0.038263,0.196303,-0.558040,-0.427172,latin
7,nation_nicaragua,0.72,0.24,-61.64,,0.000000,0.000000,0.000000,0.000000,
7,nation_honduras,11.34,3.78,38.96,,-0.400000,-0.400000,0.100000,-0.100000,latin
7,nation_guatemala,27.44,7.84,-7.70,,-0.400000,-0.500000,0.200000,0.100000,latin
7,nation_panama,2.24,2.24,-13.02,,0.100000,0.200000,-0.400000,-0.300000,latin
8,nation_costa_rica,9.04,5.68,26.12,,-0.038692,0.195981,-0.557289,-0.426635,latin
8,nation_nicaragua,0.72,0.24,-70.49,,0.000000,0.000000,0.000000,0.000000,
8,nation_honduras,12.96,4.32,41.88,,-0.400000,-0.400000,0.100000,-0.100000,latin
8,nation_guatemala,31.36,8.96,-8.80,,-0.400000,-0.500000,0.200000,0.100000,latin
8,nation_panama,2.56,2.56,-14.88,,0.100000,0.200000,-0.400000,-0.300000,latin
9,nation_costa_rica,10.26,6.42,23.18,,-0.039153,0.195635,-0.556482,-0.426058,latin
9,nation_nicaragua,0.72,0.24,-79.34,,0.000000,0.000000,0.000000,0.000000,
9,nation_honduras,14.58,4.86,44.57,,-0.400000,-0.400000,0.100000,-0.100000,latin
9,nation_guatemala,35.28,10.08,-9.90,,-0.400000,-0.500000,0.200000,0.100000,latin
9,nation_panama,2.88,2.88,-16.74,,0.100000,0.200000,-0.400000,-0.300000,latin
10,nation_costa_rica,11.48,7.16,20.24,,-0.039641,0.195269,-0.555628,-0.425448,latin
10,nation_nicaragua,0.72,0.24,-88.19,,0.000000,0.000000,0.000000,0.000000,
10,nation_honduras,16.20,5.40,47.05,,-0.400000,-0.400000,0.100000,-0.100000,latin
10,nation_guatemala,39.20,11.20,-11.00,,-0.400000,-0.500000,0.200000,0.100000,latin
10,nation_panama,3.20,3.20,-18.60,,0.100000,0.200000,-0.400000,-0.300000,latin
