tick,nation_id,trust,inactivity_tier,activity_tier,wealth_stock,debt_balance
0,nation_costa_rica,50.000,active,active,30.00,0.00
0,nation_panama,50.000,active,active,20.00,0.00
0,nation_guatemala,50.000,active,active,30.00,0.00
0,nation_honduras,50.000,active,active,20.00,0.00
0,nation_nicaragua,50.000,active,active,0.00,0.00
1,nation_costa_rica,50.000,active,active,28.20,0.00
1,nation_panama,50.000,active,active,19.64,0.00
1,nation_guatemala,50.000,active,active,23.90,0.00
1,nation_honduras,50.000,active,active,19.54,0.00
1,nation_nicaragua,50.000,active,active,-2.14,2.14
2,nation_costa_rica,50.000,active,active,26.40,0.00
2,nation_panama,50.000,active,active,19.28,0.00
2,nation_guatemala,50.000,active,active,22.80,0.00
2,nation_honduras,50.000,active,active,19.08,0.00
2,nation_nicaragua,50.000,active,active,-4.28,6.42
3,nation_costa_rica,50.000,active,active,24.60,0.00
3,nation_panama,50.000,active,active,18.92,0.00
3,nation_guatemala,50.000,active,active,21.70,0.00
3,nation_honduras,50.000,active,active,18.62,0.00
3,nation_nicaragua,50.000,active,active,-6.42,12.84
4,nation_costa_rica,50.000,active,active,23.44,0.00
4,nation_panama,50.000,active,active,17.92,0.00
4,nation_guatemala,50.000,active,active,20.60,0.00
4,nation_honduras,50.000,active,active,18.16,0.00
4,nation_nicaragua,50.000,active,active,-8.56,21.40
5,nation_costa_rica,50.000,active,active,22.28,0.00
5,nation_panama,50.000,active,active,16.92,0.00
5,nation_guatemala,50.000,active,active,19.50,0.00
5,nation_honduras,50.000,active,active,17.70,0.00
5,nation_nicaragua,50.000,active,active,-10.70,32.10
6,nation_costa_rica,50.000,active,active,21.12,0.00
6,nation_panama,50.000,active,active,15.92,0.00
6,nation_guatemala,30.000,active,active,17.40,0.00
6,nation_honduras,50.000,active,active,22.24,0.00
6,nation_nicaragua,50.000,active,active,-12.84,44.94
7,nation_costa_rica,50.000,active,active,19.96,0.00
7,nation_panama,50.000,active,active,14.92,0.00
7,nation_guatemala,30.000,active,active,15.30,0.00
7,nation_honduras,50.000,active,active,21.78,0.00
7,nation_nicaragua,50.000,active,active,-14.98,59.92
8,nation_costa_rica,50.000,active,active,18.80,0.00
8,nation_panama,50.000,active,active,13.92,0.00
8,nation_guatemala,30.000,active,active,13.20,0.00
8,nation_honduras,50.000,active,active,21.32,0.00
8,nation_nicaragua,50.000,active,active,-17.12,77.04
9,nation_costa_rica,50.000,active,active,17.64,0.00
9,nation_panama,50.000,active,active,12.92,0.00
9,nation_guatemala,30.000,active,active,11.10,0.00
9,nation_honduras,50.000,active,active,20.86,0.00
9,nation_nicaragua,50.000,active,active,-19.26,96.30
10,nation_costa_rica,50.000,active,active,16.48,0.00
10,nation_panama,50.000,active,active,11.92,0.00
10,nation_guatemala,30.000,active,active,9.00,0.00
10,nation_honduras,50.000,active,active,20.40,0.00
10,nation_nicaragua,50.000,active,active,-21.40,117.70
11,nation_costa_rica,50.000,active,active,15.32,0.00
11,nation_panama,50.000,active,active,10.92,0.00
11,nation_guatemala,30.000,active,active,6.90,0.00
11,nation_honduras,50.000,active,active,19.94,0.00
11,nation_nicaragua,50.000,active,active,-23.54,141.24
12,nation_costa_rica,50.000,active,active,14.16,0.00
12,nation_panama,50.000,active,active,9.92,0.00
12,nation_guatemala,30.000,active,active,4.80,0.00
12,nation_honduras,50.000,active,active,19.48,0.00
12,nation_nicaragua,50.000,active,active,-25.68,166.92
