tick,nation_id,pop_stock,ind_stock,wealth_stock,army_size,culture_individualist,culture_progressive,culture_militaristic,culture_expansionist,culture_family
0,nation_costa_rica,0.00,0.00,30.00,,0.100000,0.300000,-0.800000,-0.600000,latin
0,nation_panama,0.00,0.00,20.00,,0.100000,0.200000,-0.400000,-0.300000,latin
0,nation_guatemala,0.00,0.00,30.00,,-0.400000,-0.500000,0.200000,0.100000,latin
0,nation_honduras,0.00,0.00,20.00,,-0.400000,-0.400000,0.100000,-0.100000,latin
0,nation_nicaragua,0.00,0.00,0.00,,-0.300000,0.000000,-0.100000,-0.100000,latin
1,nation_costa_rica,0.50,0.50,28.20,,0.100000,0.300000,-0.800000,-0.600000,latin
1,nation_panama,0.32,0.32,19.64,,0.100000,0.200000,-0.400000,-0.300000,latin
1,nation_guatemala,3.92,1.12,23.90,,-0.400000,-0.500000,0.200000,0.100000,latin
1,nation_honduras,1.62,0.54,19.54,,-0.400000,-0.400000,0.100000,-0.100000,latin
1,nation_nicaragua,0.72,0.24,-2.14,,-0.300000,0.000000,-0.100000,-0.100000,latin
2,nation_costa_rica,1.00,1.00,26.40,,0.100000,0.300000,-0.800000,-0.600000,latin
2,nation_panama,0.64,0.64,19.28,,0.100000,0.200000,-0.400000,-0.300000,latin
2,nation_guatemala,7.84,2.24,22.80,,-0.400000,-0.500000,0.200000,0.100000,latin
2,nation_honduras,3.24,1.08,19.08,,-0.400000,-0.400000,0.100000,-0.100000,latin
2,nation_nicaragua,1.44,0.48,-4.28,,-0.300000,0.000000,-0.100000,-0.100000,latin
3,nation_costa_rica,1.50,1.50,24.60,,0.100000,0.300000,-0.800000,-0.600000,latin
3,nation_panama,0.96,0.96,18.92,,0.100000,0.200000,-0.400000,-0.300000,latin
3,nation_guatemala,11.76,3.36,21.70,,-0.400000,-0.500000,0.200000,0.100000,latin
3,nation_honduras,4.86,1.62,18.62,,-0.400000,-0.400000,0.100000,-0.100000,latin
3,nation_nicaragua,2.16,0.72,-6.42,,-0.300000,0.000000,-0.100000,-0.100000,latin
4,nation_costa_rica,2.32,2.32,23.44,,0.100000,0.271409,-0.685635,-0.514226,latin
4,nation_panama,0.96,0.96,17.92,,0.000000,0.000000,0.000000,0.000000,
4,nation_guatemala,15.68,4.48,20.60,,-0.400000,-0.500000,0.200000,0.100000,latin
4,nation_honduras,6.48,2.16,18.16,,-0.400000,-0.400000,0.100000,-0.100000,latin
4,nation_nicaragua,2.88,0.96,-8.56,,-0.300000,0.000000,-0.100000,-0.100000,latin
5,nation_costa_rica,3.14,3.14,22.28,,0.100000,0.271372,-0.685488,-0.514116,latin
5,nation_panama,0.96,0.96,16.92,,0.000000,0.000000,0.000000,0.000000,
5,nation_guatemala,19.60,5.60,19.50,,-0.400000,-0.500000,0.200000,0.100000,latin
5,nation_honduras,8.10,2.70,17.70,,-0.400000,-0.400000,0.100000,-0.100000,latin
5,nation_nicaragua,3.60,1.20,-10.70,,-0.300000,0.000000,-0.100000,-0.100000,latin
6,nation_costa_rica,3.96,3.96,21.12,,0.100000,0.271320,-0.685282,-0.513961,latin
6,nation_panama,0.96,0.96,15.92,,0.000000,0.000000,0.000000,0.000000,
6,nation_guatemala,23.52,6.72,17.40,,-0.400000,-0.500000,0.200000,0.100000,latin
6,nation_honduras,9.72,3.24,22.24,,-0.400000,-0.400000,0.100000,-0.100000,latin
6,nation_nicaragua,4.32,1.44,-12.84,,-0.300000,0.000000,-0.100000,-0.100000,latin
7,nation_costa_rica,4.78,4.78,19.96,,0.100000,0.271256,-0.685025,-0.513769,latin
7,nation_panama,0.96,0.96,14.92,,0.000000,0.000000,0.000000,0.000000,
7,nation_guatemala,27.44,7.84,15.30,,-0.400000,-0.500000,0.200000,0.100000,latin
7,nation_honduras,11.34,3.78,21.78,,-0.400000,-0.400000,0.100000,-0.100000,latin
7,nation_nicaragua,5.04,1.68,-14.98,,-0.300000,0.000000,-0.100000,-0.100000,latin
8,nation_costa_rica,5.60,5.60,18.80,,0.100000,0.271181,-0.684724,-0.513543,latin
8,nation_panama,0.96,0.96,13.92,,0.000000,0.000000,0.000000,0.000000,
8,nation_guatemala,31.36,8.96,13.20,,-0.400000,-0.500000,0.200000,0.100000,latin
8,nation_honduras,12.96,4.32,21.32,,-0.400000,-0.400000,0.100000,-0.100000,latin
8,nation_nicaragua,5.76,1.92,-17.12,,-0.300000,0.000000,-0.100000,-0.100000,latin
9,nation_costa_rica,6.42,6.42,17.64,,0.100000,0.271096,-0.684385,-0.513289,latin
9,nation_panama,0.96,0.96,12.92,,0.000000,0.000000,0.000000,0.000000,
9,nation_guatemala,35.28,10.08,11.10,,-0.400000,-0.500000,0.200000,0.100000,latin
9,nation_honduras,14.58,4.86,20.86,,-0.400000,-0.400000,0.100000,-0.100000,latin
9,nation_nicaragua,6.48,2.16,-19.26,,-0.300000,0.000000,-0.100000,-0.100000,latin
10,nation_costa_rica,7.24,7.24,16.48,,0.100000,0.271004,-0.684014,-0.513011,latin
10,nation_panama,0.96,0.96,11.92,,0.000000,0.000000,0.000000,0.000000,
10,nation_guatemala,39.20,11.20,9.00,,-0.400000,-0.500000,0.200000,0.100000,latin
10,nation_honduras,16.20,5.40,20.40,,-0.400000,-0.400000,0.100000,-0.100000,latin
10,nation_nicaragua,7.20,2.40,-21.40,,-0.300000,0.000000,-0.100000,-0.100000,latin
11,nation_costa_rica,8.06,8.06,15.32,,0.100000,0.270904,-0.683615,-0.512712,latin
11,nation_panama,0.96,0.96,10.92,,0.000000,0.000000,0.000000,0.000000,
11,nation_guatemala,43.12,12.32,6.90,,-0.400000,-0.500000,0.200000,0.100000,latin
11,nation_honduras,17.82,5.94,19.94,,-0.400000,-0.400000,0.100000,-0.100000,latin
11,nation_nicaragua,7.92,2.64,-23.54,,-0.300000,0.000000,-0.100000,-0.100000,latin
12,nation_costa_rica,8.88,8.88,14.16,,0.100000,0.270798,-0.683193,-0.512395,latin
12,nation_panama,0.96,0.96,9.92,,0.000000,0.000000,0.000000,0.000000,
12,nation_guatemala,47.04,13.44,4.80,,-0.400000,-0.500000,0.200000,0.100000,latin
12,nation_honduras,19.44,6.48,19.48,,-0.400000,-0.400000,0.100000,-0.100000,latin
12,nation_nicaragua,8.64,2.88,-25.68,,-0.300000,0.000000,-0.100000,-0.100000,latin
