tick,territory_id,owner_id,unrest,equilibrium,conquest_shock,base,compat_pressure,distance_pressure,infra_bonus,overexpansion,rapid_expansion,is_in_revolt,compat_total
0,mexico_yucatan,,0.000000,0.000000,0.000000,,,,,,,0,
0,guatemala,nation_guatemala,0.000000,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
0,belize,,0.000000,0.000000,0.000000,,,,,,,0,
0,honduras,nation_honduras,0.000000,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
0,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
0,nicaragua,nation_nicaragua,0.000000,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
0,costa_rica,nation_costa_rica,0.000000,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
0,panama,nation_panama,0.000000,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
1,mexico_yucatan,,0.000000,0.000000,0.000000,,,,,,,0,
1,guatemala,nation_guatemala,0.002000,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
1,belize,,0.000000,0.000000,0.000000,,,,,,,0,
1,honduras,nation_honduras,0.002000,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
1,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
1,nicaragua,nation_nicaragua,0.002000,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
1,costa_rica,nation_costa_rica,0.002000,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
1,panama,nation_panama,0.002000,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
2,mexico_yucatan,,0.000000,0.000000,0.000000,,,,,,,0,
2,guatemala,nation_guatemala,0.003800,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
2,belize,,0.000000,0.000000,0.000000,,,,,,,0,
2,honduras,nation_honduras,0.003800,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
2,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
2,nicaragua,nation_nicaragua,0.005800,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
2,costa_rica,nation_costa_rica,0.003800,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
