tick,nation_id,pop_stock,ind_stock,wealth_stock,army_size,culture_individualist,culture_progressive,culture_militaristic,culture_expansionist,culture_family
0,nation_costa_rica,0.00,0.00,20.00,,0.100000,0.300000,-0.800000,-0.600000,latin
0,nation_guatemala,0.00,0.00,5.00,,-0.400000,-0.500000,0.200000,0.100000,latin
0,nation_honduras,0.00,0.00,0.00,,-0.400000,-0.400000,0.100000,-0.100000,latin
0,nation_nicaragua,0.00,0.00,0.00,,-0.300000,0.000000,-0.100000,-0.100000,latin
0,nation_panama,0.00,0.00,0.00,,0.100000,0.200000,-0.400000,-0.300000,latin
1,nation_costa_rica,5.00,5.00,19.50,,0.100000,0.300000,-0.800000,-0.600000,latin
1,nation_guatemala,14.00,4.00,2.50,,-0.400000,-0.500000,0.200000,0.100000,latin
1,nation_honduras,9.00,3.00,0.50,,-0.400000,-0.400000,0.100000,-0.100000,latin
1,nation_nicaragua,6.00,2.00,0.50,,-0.300000,0.000000,-0.100000,-0.100000,latin
1,nation_panama,4.00,4.00,5.50,,0.100000,0.200000,-0.400000,-0.300000,latin
2,nation_costa_rica,10.00,10.00,24.00,,0.100000,0.300000,-0.800000,-0.600000,latin
2,nation_guatemala,28.00,8.00,4.00,,-0.400000,-0.500000,0.200000,0.100000,latin
2,nation_honduras,18.00,6.00,1.00,,-0.400000,-0.400000,0.100000,-0.100000,latin
2,nation_nicaragua,12.00,4.00,1.00,,-0.300000,0.000000,-0.100000,-0.100000,latin
2,nation_panama,8.00,8.00,11.00,,0.100000,0.200000,-0.400000,-0.300000,latin
3,nation_costa_rica,15.00,15.00,28.50,,0.100000,0.300000,-0.800000,-0.600000,latin
3,nation_guatemala,42.00,12.00,5.50,,-0.400000,-0.500000,0.200000,0.100000,latin
3,nation_honduras,27.00,9.00,1.50,,-0.400000,-0.400000,0.100000,-0.100000,latin
3,nation_nicaragua,18.00,6.00,1.50,,-0.300000,0.000000,-0.100000,-0.100000,latin
3,nation_panama,12.00,12.00,16.50,,0.100000,0.200000,-0.400000,-0.300000,latin
4,nation_costa_rica,20.00,20.00,33.00,,0.100000,0.300000,-0.800000,-0.600000,latin
4,nation_guatemala,56.00,16.00,7.00,,-0.400000,-0.500000,0.200000,0.100000,latin
4,nation_honduras,36.00,12.00,2.00,,-0.400000,-0.400000,0.100000,-0.100000,latin
4,nation_nicaragua,24.00,8.00,2.00,,-0.300000,0.000000,-0.100000,-0.100000,latin
4,nation_panama,16.00,16.00,22.00,,0.100000,0.200000,-0.400000,-0.300000,latin
5,nation_costa_rica,25.00,25.00,37.50,,0.100000,0.300000,-0.800000,-0.600000,latin
5,nation_guatemala,70.00,20.00,8.50,,-0.400000,-0.500000,0.200000,0.100000,latin
5,nation_honduras,45.00,15.00,2.50,,-0.400000,-0.400000,0.100000,-0.100000,latin
5,nation_nicaragua,30.00,10.00,2.50,,-0.300000,0.000000,-0.100000,-0.100000,latin
5,nation_panama,20.00,20.00,27.50,,0.100000,0.200000,-0.400000,-0.300000,latin
6,nation_costa_rica,30.00,30.00,42.00,,0.100000,0.300000,-0.800000,-0.600000,latin
6,nation_guatemala,84.00,24.00,10.00,,-0.400000,-0.500000,0.200000,0.100000,latin
6,nation_honduras,54.00,18.00,3.00,,-0.400000,-0.400000,0.100000,-0.100000,latin
6,nation_nicaragua,36.00,12.00,3.00,,-0.300000,0.000000,-0.100000,-0.100000,latin
6,nation_panama,24.00,24.00,33.00,,0.100000,0.200000,-0.400000,-0.300000,latin
7,nation_costa_rica,35.00,35.00,46.50,,0.100000,0.300000,-0.800000,-0.600000,latin
7,nation_guatemala,98.00,28.00,11.50,,-0.400000,-0.500000,0.200000,0.100000,latin
7,nation_honduras,63.00,21.00,3.50,,-0.400000,-0.400000,0.100000,-0.100000,latin
7,nation_nicaragua,42.00,14.00,3.50,,-0.300000,0.000000,-0.100000,-0.100000,latin
7,nation_panama,28.00,28.00,38.50,,0.100000,0.200000,-0.400000,-0.300000,latin
8,nation_costa_rica,40.00,40.00,51.00,,0.100000,0.300000,-0.800000,-0.600000,latin
8,nation_guatemala,112.00,32.00,13.00,,-0.400000,-0.500000,0.200000,0.100000,latin
8,nation_honduras,72.00,24.00,4.00,,-0.400000,-0.400000,0.100000,-0.100000,latin
8,nation_nicaragua,48.00,16.00,4.00,,-0.300000,0.000000,-0.100000,-0.100000,latin
8,nation_panama,32.00,32.00,44.00,,0.100000,0.200000,-0.400000,-0.300000,latin
9,nation_costa_rica,45.00,45.00,55.50,,0.100000,0.300000,-0.800000,-0.600000,latin
9,nation_guatemala,126.00,36.00,14.50,,-0.400000,-0.500000,0.200000,0.100000,latin
9,nation_honduras,81.00,27.00,4.50,,-0.400000,-0.400000,0.100000,-0.100000,latin
9,nation_nicaragua,54.00,18.00,4.50,,-0.300000,0.000000,-0.100000,-0.100000,latin
9,nation_panama,36.00,36.00,49.50,,0.100000,0.200000,-0.400000,-0.300000,latin
10,nation_costa_rica,50.00,50.00,60.00,,0.100000,0.300000,-0.800000,-0.600000,latin
10,nation_guatemala,140.00,40.00,17.00,,-0.400000,-0.500000,0.200000,0.100000,latin
10,nation_honduras,90.00,30.00,5.00,,-0.400000,-0.400000,0.100000,-0.100000,latin
10,nation_nicaragua,60.00,20.00,5.00,,-0.300000,0.000000,-0.100000,-0.100000,latin
10,nation_panama,40.00,40.00,55.00,,0.100000,0.200000,-0.400000,-0.300000,latin
11,nation_costa_rica,55.00,55.00,64.50,,0.100000,0.300000,-0.800000,-0.600000,latin
