tick,nation_id,trust,inactivity_tier,activity_tier,wealth_stock,debt_balance
0,nation_costa_rica,50.000,active,active,500.00,0.00
1,nation_costa_rica,50.000,active,active,502.89,0.00
2,nation_costa_rica,50.000,active,active,500.77,0.00
3,nation_costa_rica,50.000,active,active,503.88,0.00
4,nation_costa_rica,50.000,active,active,501.74,0.00
5,nation_costa_rica,50.000,active,active,505.08,0.00
6,nation_costa_rica,50.000,active,active,502.91,0.00
7,nation_costa_rica,50.000,active,active,506.47,0.00
8,nation_costa_rica,50.000,active,active,504.28,0.00
9,nation_costa_rica,50.000,active,active,508.07,0.00
10,nation_costa_rica,50.000,active,active,505.85,0.00
11,nation_costa_rica,50.000,active,active,509.86,0.00
12,nation_costa_rica,50.000,active,active,507.62,0.00
13,nation_costa_rica,50.000,active,active,511.86,0.00
14,nation_costa_rica,50.000,active,active,509.59,0.00
15,nation_costa_rica,50.000,active,active,514.05,0.00
16,nation_costa_rica,50.000,active,active,511.76,0.00
17,nation_costa_rica,50.000,active,active,516.45,0.00
18,nation_costa_rica,50.000,active,active,514.13,0.00
19,nation_costa_rica,50.000,active,active,519.04,0.00
20,nation_costa_rica,50.000,active,active,516.70,0.00
21,nation_costa_rica,50.000,active,active,521.86,0.00
22,nation_costa_rica,50.000,active,active,519.52,0.00
23,nation_costa_rica,50.000,active,active,524.68,0.00
24,nation_costa_rica,50.000,active,active,522.34,0.00
25,nation_costa_rica,50.000,active,active,527.50,0.00
26,nation_costa_rica,50.000,active,active,525.16,0.00
27,nation_costa_rica,50.000,active,active,530.32,0.00
28,nation_costa_rica,50.000,active,active,527.98,0.00
29,nation_costa_rica,50.000,active,active,533.14,0.00
30,nation_costa_rica,50.000,active,active,530.80,0.00
