tick,route_id,type,owner_nation,partner_nation,source,destination,base_capacity,current_capacity,growth_cap,cycles_completed,profit_multiplier,upkeep_per_tick,shipment_count,status
1,9101,domestic,nation_costa_rica,,nicaragua,costa_rica,5.000,5.250,7.500,1,1.000,0.525,1,active
2,9101,domestic,nation_costa_rica,,nicaragua,costa_rica,5.000,5.250,7.500,1,1.000,0.525,1,active
3,9101,domestic,nation_costa_rica,,nicaragua,costa_rica,5.000,5.500,7.500,2,1.000,0.550,1,active
4,9101,domestic,nation_costa_rica,,nicaragua,costa_rica,5.000,5.500,7.500,2,1.000,0.550,1,active
5,9101,domestic,nation_costa_rica,,nicaragua,costa_rica,5.000,5.750,7.500,3,1.000,0.575,1,active
6,9101,domestic,nation_costa_rica,,nicaragua,costa_rica,5.000,5.750,7.500,3,1.000,0.575,1,active
7,9101,domestic,nation_costa_rica,,nicaragua,costa_rica,5.000,6.000,7.500,4,1.000,0.600,1,active
8,9101,domestic,nation_costa_rica,,nicaragua,costa_rica,5.000,6.000,7.500,4,1.000,0.600,1,active
9,9101,domestic,nation_costa_rica,,nicaragua,costa_rica,5.000,6.250,7.500,5,1.000,0.625,1,active
10,9101,domestic,nation_costa_rica,,nicaragua,costa_rica,5.000,6.250,7.500,5,1.000,0.625,1,active
11,9101,domestic,nation_costa_rica,,nicaragua,costa_rica,5.000,6.500,7.500,6,1.000,0.650,1,active
12,9101,domestic,nation_costa_rica,,nicaragua,costa_rica,5.000,6.500,7.500,6,1.000,0.650,1,active
13,9101,domestic,nation_costa_rica,,nicaragua,costa_rica,5.000,6.750,7.500,7,1.000,0.675,1,active
14,9101,domestic,nation_costa_rica,,nicaragua,costa_rica,5.000,6.750,7.500,7,1.000,0.675,1,active
15,9101,domestic,nation_costa_rica,,nicaragua,costa_rica,5.000,7.000,7.500,8,1.000,0.700,1,active
16,9101,domestic,nation_costa_rica,,nicaragua,costa_rica,5.000,7.000,7.500,8,1.000,0.700,1,active
17,9101,domestic,nation_costa_rica,,nicaragua,costa_rica,5.000,7.250,7.500,9,1.000,0.725,1,active
18,9101,domestic,nation_costa_rica,,nicaragua,costa_rica,5.000,7.250,7.500,9,1.000,0.725,1,active
19,9101,domestic,nation_costa_rica,,nicaragua,costa_rica,5.000,7.500,7.500,10,1.000,0.750,1,active
20,9101,domestic,nation_costa_rica,,nicaragua,costa_rica,5.000,7.500,7.500,10,1.000,0.750,1,active
21,9101,domestic,nation_costa_rica,,nicaragua,costa_rica,5.000,7.500,7.500,11,1.000,0.750,1,active
22,9101,domestic,nation_costa_rica,,nicaragua,costa_rica,5.000,7.500,7.500,11,1.000,0.750,1,active
23,9101,domestic,nation_costa_rica,,nicaragua,costa_rica,5.000,7.500,7.500,12,1.000,0.750,1,active
24,9101,domestic,nation_costa_rica,,nicaragua,costa_rica,5.000,7.500,7.500,12,1.000,0.750,1,active
25,9101,domestic,nation_costa_rica,,nicaragua,costa_rica,5.000,7.500,7.500,13,1.000,0.750,1,active
26,9101,domestic,nation_costa_rica,,nicaragua,costa_rica,5.000,7.500,7.500,13,1.000,0.750,1,active
27,9101,domestic,nation_costa_rica,,nicaragua,costa_rica,5.000,7.500,7.500,14,1.000,0.750,1,active
28,9101,domestic,nation_costa_rica,,nicaragua,costa_rica,5.000,7.500,7.500,14,1.000,0.750,1,active
29,9101,domestic,nation_costa_rica,,nicaragua,costa_rica,5.000,7.500,7.500,15,1.000,0.750,1,active
30,9101,domestic,nation_costa_rica,,nicaragua,costa_rica,5.000,7.500,7.500,15,1.000,0.750,1,active
