tick,nation_id,pop_stock,ind_stock,wealth_stock,army_size,culture_individualist,culture_progressive,culture_militaristic,culture_expansionist,culture_family
0,nation_costa_rica,100.00,100.00,500.00,,-0.036709,0.197468,-0.560759,-0.429114,latin
0,nation_honduras,50.00,50.00,100.00,,-0.400000,-0.400000,0.100000,-0.100000,latin
1,nation_costa_rica,101.22,100.74,502.89,,-0.034107,0.197457,-0.560733,-0.429095,latin
1,nation_honduras,51.62,50.54,98.04,,-0.400000,-0.400000,0.100000,-0.100000,latin
2,nation_costa_rica,102.44,101.48,500.77,,-0.031524,0.197436,-0.560684,-0.429060,latin
2,nation_honduras,53.24,51.08,96.08,,-0.400000,-0.400000,0.100000,-0.100000,latin
3,nation_costa_rica,103.66,102.22,503.88,,-0.028835,0.197406,-0.560615,-0.429011,latin
3,nation_honduras,54.86,51.62,94.12,,-0.400000,-0.400000,0.100000,-0.100000,latin
4,nation_costa_rica,104.88,102.96,501.74,,-0.026160,0.197370,-0.560530,-0.428950,latin
4,nation_honduras,56.48,52.16,92.16,,-0.400000,-0.400000,0.100000,-0.100000,latin
5,nation_costa_rica,106.10,103.70,505.08,,-0.023375,0.197328,-0.560431,-0.428880,latin
5,nation_honduras,58.10,52.70,90.20,,-0.400000,-0.400000,0.100000,-0.100000,latin
6,nation_costa_rica,107.32,104.44,502.91,,-0.020601,0.197280,-0.560321,-0.428801,latin
6,nation_honduras,59.72,53.24,88.24,,-0.400000,-0.400000,0.100000,-0.100000,latin
7,nation_costa_rica,108.54,105.18,506.47,,-0.017713,0.197229,-0.560201,-0.428715,latin
7,nation_honduras,61.34,53.78,86.28,,-0.400000,-0.400000,0.100000,-0.100000,latin
8,nation_costa_rica,109.76,105.92,504.28,,-0.014834,0.197174,-0.560074,-0.428624,latin
8,nation_honduras,62.96,54.32,84.32,,-0.400000,-0.400000,0.100000,-0.100000,latin
9,nation_costa_rica,110.98,106.66,508.07,,-0.011839,0.197117,-0.559940,-0.428528,latin
9,nation_honduras,64.58,54.86,82.36,,-0.400000,-0.400000,0.100000,-0.100000,latin
10,nation_costa_rica,112.20,107.40,505.85,,-0.008850,0.197057,-0.559801,-0.428429,latin
10,nation_honduras,66.20,55.40,80.40,,-0.400000,-0.400000,0.100000,-0.100000,latin
11,nation_costa_rica,113.42,108.14,509.86,,-0.005744,0.196996,-0.559658,-0.428327,latin
11,nation_honduras,67.82,55.94,78.44,,-0.400000,-0.400000,0.100000,-0.100000,latin
12,nation_costa_rica,114.64,108.88,507.62,,-0.002641,0.196934,-0.559512,-0.428223,latin
12,nation_honduras,69.44,56.48,76.48,,-0.400000,-0.400000,0.100000,-0.100000,latin
13,nation_costa_rica,115.86,109.62,511.86,,0.000580,0.196870,-0.559364,-0.428117,latin
13,nation_honduras,71.06,57.02,74.52,,-0.400000,-0.400000,0.100000,-0.100000,latin
14,nation_costa_rica,117.08,110.36,509.59,,0.003799,0.196806,-0.559214,-0.428010,latin
14,nation_honduras,72.68,57.56,72.56,,-0.400000,-0.400000,0.100000,-0.100000,latin
15,nation_costa_rica,118.30,111.10,514.05,,0.007138,0.196742,-0.559064,-0.427903,latin
15,nation_honduras,74.30,58.10,70.60,,-0.400000,-0.400000,0.100000,-0.100000,latin
16,nation_costa_rica,118.80,111.60,510.65,,0.114594,0.273119,-0.737277,-0.555198,latin
16,nation_honduras,76.64,58.88,68.95,,-0.348362,-0.289336,0.022268,-0.120364,latin
17,nation_costa_rica,119.30,112.10,508.75,,0.114594,0.273119,-0.737277,-0.555198,latin
17,nation_honduras,78.98,59.66,67.30,,-0.348300,-0.289204,0.022175,-0.120388,latin
18,nation_costa_rica,119.80,112.60,506.85,,0.114594,0.273119,-0.737277,-0.555198,latin
18,nation_honduras,81.32,60.44,65.65,,-0.348224,-0.289041,0.022060,-0.120418,latin
19,nation_costa_rica,120.30,113.10,504.95,,0.114594,0.273119,-0.737277,-0.555198,latin
19,nation_honduras,83.66,61.22,64.00,,-0.348135,-0.288850,0.021926,-0.120454,latin
20,nation_costa_rica,120.80,113.60,503.05,,0.114594,0.273119,-0.737277,-0.555198,latin
20,nation_honduras,86.00,62.00,62.35,,-0.348035,-0.288636,0.021776,-0.120493,latin
