tick,territory_id,owner_id,unrest,equilibrium,conquest_shock,base,compat_pressure,distance_pressure,infra_bonus,overexpansion,rapid_expansion,is_in_revolt,compat_total
0,mexico_yucatan,,0.000000,0.000000,0.000000,,,,,,,0,
0,guatemala,,0.000000,0.000000,0.000000,,,,,,,0,
0,belize,,0.000000,0.000000,0.000000,,,,,,,0,
0,honduras,nation_honduras,0.000000,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
0,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
0,nicaragua,nation_costa_rica,0.000000,0.094392,0.000000,0.020000,0.034392,0.040000,0.000000,0.000000,0.000000,0,0.937468
0,costa_rica,nation_costa_rica,0.000000,0.037858,0.000000,0.020000,0.017858,0.000000,0.000000,0.000000,0.000000,0,0.967532
0,panama,,0.000000,0.000000,0.000000,,,,,,,0,
1,mexico_yucatan,,0.000000,0.000000,0.000000,,,,,,,0,
1,guatemala,,0.000000,0.000000,0.000000,,,,,,,0,
1,belize,,0.000000,0.000000,0.000000,,,,,,,0,
1,honduras,nation_honduras,0.003500,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
1,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
1,nicaragua,nation_costa_rica,0.008439,0.093709,0.000000,0.020000,0.033709,0.040000,0.000000,0.000000,0.000000,0,0.938711
1,costa_rica,nation_costa_rica,0.000000,0.000000,0.000000,0.020000,0.017503,0.000000,-0.040000,0.000000,0.000000,0,0.968177
1,panama,,0.000000,0.000000,0.000000,,,,,,,0,
2,mexico_yucatan,,0.000000,0.000000,0.000000,,,,,,,0,
2,guatemala,,0.000000,0.000000,0.000000,,,,,,,0,
2,belize,,0.000000,0.000000,0.000000,,,,,,,0,
2,honduras,nation_honduras,0.006650,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
2,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
2,nicaragua,nation_costa_rica,0.015966,0.093042,0.000000,0.020000,0.033042,0.040000,0.000000,0.000000,0.000000,0,0.939923
2,costa_rica,nation_costa_rica,0.000000,0.000000,0.000000,0.020000,0.017157,0.000000,-0.040000,0.000000,0.000000,0,0.968806
2,panama,,0.000000,0.000000,0.000000,,,,,,,0,
3,mexico_yucatan,,0.000000,0.000000,0.000000,,,,,,,0,
3,guatemala,,0.000000,0.000000,0.000000,,,,,,,0,
3,belize,,0.000000,0.000000,0.000000,,,,,,,0,
3,honduras,nation_honduras,0.009485,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
3,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
3,nicaragua,nation_costa_rica,0.022674,0.092393,0.000000,0.020000,0.032393,0.040000,0.000000,0.000000,0.000000,0,0.941104
3,costa_rica,nation_costa_rica,0.000000,0.000000,0.000000,0.020000,0.016819,0.000000,-0.040000,0.000000,0.000000,0,0.969420
3,panama,,0.000000,0.000000,0.000000,,,,,,,0,
4,mexico_yucatan,,0.000000,0.000000,0.000000,,,,,,,0,
4,guatemala,,0.000000,0.000000,0.000000,,,,,,,0,
4,belize,,0.000000,0.000000,0.000000,,,,,,,0,
4,honduras,nation_honduras,0.012037,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
4,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
4,nicaragua,nation_costa_rica,0.028646,0.091758,0.000000,0.020000,0.031758,0.040000,0.000000,0.000000,0.000000,0,0.942257
4,costa_rica,nation_costa_rica,0.000000,0.000000,0.000000,0.020000,0.016490,0.000000,-0.040000,0.000000,0.000000,0,0.970018
