tick,nation_id,trust,inactivity_tier,activity_tier,wealth_stock,debt_balance
0,nation_costa_rica,50.000,active,active,500.00,0.00
1,nation_costa_rica,50.000,active,active,503.04,0.00
2,nation_costa_rica,50.000,active,active,501.07,0.00
3,nation_costa_rica,50.000,active,active,504.33,0.00
4,nation_costa_rica,50.000,active,active,502.34,0.00
5,nation_costa_rica,50.000,active,active,505.83,0.00
6,nation_costa_rica,50.000,active,active,503.81,0.00
7,nation_costa_rica,50.000,active,active,507.52,0.00
8,nation_costa_rica,50.000,active,active,505.48,0.00
9,nation_costa_rica,50.000,active,active,509.42,0.00
10,nation_costa_rica,50.000,active,active,507.35,0.00
11,nation_costa_rica,50.000,active,active,511.51,0.00
12,nation_costa_rica,50.000,active,active,509.42,0.00
13,nation_costa_rica,50.000,active,active,513.81,0.00
14,nation_costa_rica,50.000,active,active,511.69,0.00
15,nation_costa_rica,50.000,active,active,516.30,0.00
