tick,nation_id,pop_stock,ind_stock,wealth_stock,army_size,culture_individualist,culture_progressive,culture_militaristic,culture_expansionist,culture_family
0,nation_costa_rica,100.00,100.00,500.00,,-0.036709,0.197468,-0.560759,-0.429114,latin
1,nation_costa_rica,101.22,100.74,503.04,,-0.034107,0.197457,-0.560733,-0.429095,latin
2,nation_costa_rica,102.44,101.48,501.07,,-0.031524,0.197436,-0.560684,-0.429060,latin
3,nation_costa_rica,103.66,102.22,504.33,,-0.028835,0.197406,-0.560615,-0.429011,latin
4,nation_costa_rica,104.88,102.96,502.34,,-0.026160,0.197370,-0.560530,-0.428950,latin
5,nation_costa_rica,106.10,103.70,505.83,,-0.023375,0.197328,-0.560431,-0.428880,latin
6,nation_costa_rica,107.32,104.44,503.81,,-0.020601,0.197280,-0.560321,-0.428801,latin
7,nation_costa_rica,108.54,105.18,507.52,,-0.017713,0.197229,-0.560201,-0.428715,latin
8,nation_costa_rica,109.76,105.92,505.48,,-0.014834,0.197174,-0.560074,-0.428624,latin
9,nation_costa_rica,110.98,106.66,509.42,,-0.011839,0.197117,-0.559940,-0.428528,latin
10,nation_costa_rica,112.20,107.40,507.35,,-0.008850,0.197057,-0.559801,-0.428429,latin
11,nation_costa_rica,113.42,108.14,511.51,,-0.005744,0.196996,-0.559658,-0.428327,latin
12,nation_costa_rica,114.64,108.88,509.42,,-0.002641,0.196934,-0.559512,-0.428223,latin
13,nation_costa_rica,115.86,109.62,513.81,,0.000580,0.196870,-0.559364,-0.428117,latin
14,nation_costa_rica,117.08,110.36,511.69,,0.003799,0.196806,-0.559214,-0.428010,latin
15,nation_costa_rica,118.30,111.10,516.30,,0.007138,0.196742,-0.559064,-0.427903,latin
