tick,nation_id,trust,inactivity_tier,activity_tier,wealth_stock,debt_balance
0,nation_costa_rica,50.000,active,active,20.00,0.00
0,nation_guatemala,50.000,active,active,20.00,0.00
0,nation_honduras,50.000,active,active,10.00,0.00
0,nation_nicaragua,50.000,active,active,0.00,0.00
0,nation_panama,50.000,active,active,0.00,0.00
1,nation_costa_rica,50.000,active,active,24.50,0.00
1,nation_guatemala,50.000,active,active,12.50,0.00
1,nation_honduras,50.000,active,active,10.50,0.00
1,nation_nicaragua,50.000,active,active,0.50,0.00
1,nation_panama,50.000,active,active,5.50,0.00
2,nation_costa_rica,50.000,active,active,34.00,0.00
2,nation_guatemala,50.000,active,active,10.00,0.00
2,nation_honduras,50.000,active,active,11.00,0.00
2,nation_nicaragua,50.000,active,active,1.00,0.00
2,nation_panama,50.000,active,active,11.00,0.00
3,nation_costa_rica,50.000,active,active,43.50,0.00
3,nation_guatemala,50.000,active,active,7.50,0.00
3,nation_honduras,50.000,active,active,11.50,0.00
3,nation_nicaragua,50.000,active,active,1.50,0.00
3,nation_panama,50.000,active,active,16.50,0.00
4,nation_costa_rica,50.000,active,active,53.00,0.00
4,nation_guatemala,50.000,active,active,5.00,0.00
4,nation_honduras,50.000,active,active,12.00,0.00
4,nation_nicaragua,50.000,active,active,2.00,0.00
4,nation_panama,50.000,active,active,22.00,0.00
5,nation_costa_rica,50.000,active,active,57.50,0.00
5,nation_guatemala,50.000,active,active,2.50,0.00
5,nation_honduras,50.000,active,active,17.50,0.00
5,nation_nicaragua,50.000,active,active,2.50,0.00
5,nation_panama,50.000,active,active,27.50,0.00
6,nation_costa_rica,50.000,active,active,62.00,0.00
6,nation_guatemala,50.000,active,active,0.00,0.00
6,nation_honduras,50.000,active,active,23.00,0.00
6,nation_nicaragua,50.000,active,active,3.00,0.00
6,nation_panama,50.000,active,active,33.00,0.00
7,nation_costa_rica,50.000,active,active,66.50,0.00
7,nation_guatemala,50.000,active,active,-2.50,2.50
7,nation_honduras,50.000,active,active,28.50,0.00
7,nation_nicaragua,50.000,active,active,3.50,0.00
7,nation_panama,50.000,active,active,38.50,0.00
8,nation_costa_rica,50.000,active,active,71.00,0.00
8,nation_guatemala,50.000,active,active,-5.00,7.50
8,nation_honduras,50.000,active,active,34.00,0.00
8,nation_nicaragua,50.000,active,active,4.00,0.00
8,nation_panama,50.000,active,active,44.00,0.00
9,nation_costa_rica,50.000,active,active,75.50,0.00
9,nation_guatemala,50.000,active,active,-7.50,15.00
9,nation_honduras,50.000,active,active,39.50,0.00
9,nation_nicaragua,50.000,active,active,4.50,0.00
9,nation_panama,50.000,active,active,49.50,0.00
10,nation_costa_rica,50.000,active,active,80.00,0.00
10,nation_guatemala,50.000,active,active,-10.00,25.00
10,nation_honduras,50.000,active,active,45.00,0.00
10,nation_nicaragua,50.000,active,active,5.00,0.00
10,nation_panama,50.000,active,active,55.00,0.00
11,nation_costa_rica,50.000,active,active,84.50,0.00
11,nation_guatemala,50.000,active,active,-12.50,37.50
11,nation_honduras,50.000,active,active,50.50,0.00
11,nation_nicaragua,50.000,active,active,5.50,0.00
11,nation_panama,50.000,active,active,60.50,0.00
12,nation_costa_rica,55.500,active,active,89.00,0.00
12,nation_guatemala,55.500,active,active,-15.00,52.50
12,nation_honduras,50.000,active,active,56.00,0.00
12,nation_nicaragua,50.000,active,active,6.00,0.00
12,nation_panama,50.000,active,active,66.00,0.00
13,nation_costa_rica,55.000,active,active,93.50,0.00
13,nation_guatemala,55.000,active,active,-17.50,70.00
13,nation_honduras,50.000,active,active,61.50,0.00
13,nation_nicaragua,50.000,active,active,6.50,0.00
13,nation_panama,50.000,active,active,71.50,0.00
14,nation_costa_rica,54.500,active,active,98.00,0.00
14,nation_guatemala,54.500,active,active,-20.00,90.00
14,nation_honduras,50.000,active,active,67.00,0.00
14,nation_nicaragua,50.000,active,active,7.00,0.00
14,nation_panama,50.000,active,active,77.00,0.00
