tick,treaty_id,status,party_a,party_b,clauses,term_ticks,tick_ends,total_collateral,collateral_a,collateral_b,escrow_a,escrow_b,refund_a,refund_b
1,1,active,nation_costa_rica,nation_guatemala,"defense_pact",20,20,20.00,10.00,10.00,0.00,0.00,0.00,0.00
2,1,active,nation_costa_rica,nation_guatemala,"defense_pact",20,20,20.00,10.00,10.00,0.00,0.00,0.00,0.00
3,1,active,nation_costa_rica,nation_guatemala,"defense_pact",20,20,20.00,10.00,10.00,0.00,0.00,0.00,0.00
4,1,active,nation_costa_rica,nation_guatemala,"defense_pact",20,20,20.00,10.00,10.00,0.00,0.00,0.00,0.00
5,1,degraded,nation_costa_rica,nation_guatemala,"defense_pact",20,20,20.00,0.00,0.00,10.00,0.00,0.00,6.67
6,1,degraded,nation_costa_rica,nation_guatemala,"defense_pact",20,20,20.00,0.00,0.00,10.00,0.00,0.00,3.33
7,1,degraded,nation_costa_rica,nation_guatemala,"defense_pact",20,20,20.00,0.00,0.00,10.00,0.00,0.00,0.00
8,1,degraded,nation_costa_rica,nation_guatemala,"defense_pact",20,20,20.00,0.00,0.00,10.00,0.00,0.00,0.00
9,1,degraded,nation_costa_rica,nation_guatemala,"defense_pact",20,20,20.00,0.00,0.00,10.00,0.00,0.00,0.00
10,1,degraded,nation_costa_rica,nation_guatemala,"defense_pact",20,20,20.00,0.00,0.00,10.00,0.00,0.00,0.00
11,1,degraded,nation_costa_rica,nation_guatemala,"defense_pact",20,20,20.00,0.00,0.00,10.00,0.00,0.00,0.00
12,1,degraded,nation_costa_rica,nation_guatemala,"defense_pact",20,20,20.00,0.00,0.00,10.00,0.00,0.00,0.00
13,1,degraded,nation_costa_rica,nation_guatemala,"defense_pact",20,20,20.00,0.00,0.00,10.00,0.00,0.00,0.00
14,1,degraded,nation_costa_rica,nation_guatemala,"defense_pact",20,20,20.00,0.00,0.00,10.00,0.00,0.00,0.00
15,1,active,nation_costa_rica,nation_guatemala,"defense_pact",20,20,20.00,9.50,0.00,0.00,0.00,0.00,0.00
16,1,active,nation_costa_rica,nation_guatemala,"defense_pact",20,20,20.00,9.50,0.00,0.00,0.00,0.00,0.00
17,1,active,nation_costa_rica,nation_guatemala,"defense_pact",20,20,20.00,9.50,0.00,0.00,0.00,0.00,0.00
18,1,active,nation_costa_rica,nation_guatemala,"defense_pact",20,20,20.00,9.50,0.00,0.00,0.00,0.00,0.00
19,1,active,nation_costa_rica,nation_guatemala,"defense_pact",20,20,20.00,9.50,0.00,0.00,0.00,0.00,0.00
20,1,expired,nation_costa_rica,nation_guatemala,"defense_pact",20,20,20.00,9.50,0.00,0.00,0.00,0.00,0.00
