tick,nation_id,trust,inactivity_tier,activity_tier,wealth_stock,debt_balance
0,nation_costa_rica,50.000,active,active,200.00,0.00
0,nation_nicaragua,50.000,active,active,5.00,0.00
0,nation_honduras,50.000,active,active,100.00,0.00
0,nation_guatemala,50.000,active,active,0.00,0.00
0,nation_panama,50.000,active,active,0.00,0.00
1,nation_costa_rica,50.000,active,active,190.70,0.00
1,nation_nicaragua,50.000,active,active,-4.64,4.64
1,nation_honduras,50.000,active,active,105.54,0.00
1,nation_guatemala,50.000,active,active,11.40,0.00
1,nation_panama,50.000,active,active,0.64,0.00
2,nation_costa_rica,50.000,active,active,181.40,0.00
2,nation_nicaragua,50.000,active,active,-14.28,18.92
2,nation_honduras,50.000,active,active,111.08,0.00
2,nation_guatemala,50.000,active,active,21.66,0.00
2,nation_panama,50.000,active,active,1.28,0.00
3,nation_costa_rica,50.000,active,active,172.10,0.00
3,nation_nicaragua,50.000,active,active,-23.92,42.84
3,nation_honduras,50.000,active,active,116.62,0.00
3,nation_guatemala,50.000,active,active,30.89,0.00
3,nation_panama,50.000,active,active,1.92,0.00
4,nation_costa_rica,50.000,active,active,162.80,0.00
4,nation_nicaragua,50.000,active,active,-33.56,76.40
4,nation_honduras,50.000,active,active,122.16,0.00
4,nation_guatemala,50.000,active,active,39.20,0.00
4,nation_panama,50.000,active,active,2.56,0.00
5,nation_costa_rica,50.000,active,active,153.50,0.00
5,nation_nicaragua,50.000,active,active,-43.20,119.60
5,nation_honduras,50.000,active,active,127.70,0.00
5,nation_guatemala,50.000,active,active,46.68,0.00
5,nation_panama,50.000,active,active,3.20,0.00
6,nation_costa_rica,50.000,active,active,144.20,0.00
6,nation_nicaragua,50.000,active,active,-52.84,172.44
6,nation_honduras,50.000,active,active,133.24,0.00
6,nation_guatemala,50.000,active,active,53.42,0.00
6,nation_panama,50.000,active,active,3.84,0.00
7,nation_costa_rica,50.000,active,active,134.90,0.00
7,nation_nicaragua,50.000,active,active,-62.48,234.92
7,nation_honduras,50.000,active,active,138.78,0.00
7,nation_guatemala,50.000,active,active,59.82,0.00
7,nation_panama,50.000,active,active,4.48,0.00
8,nation_costa_rica,50.000,active,active,125.60,0.00
8,nation_nicaragua,50.000,active,active,-72.12,307.04
8,nation_honduras,50.000,active,active,144.32,0.00
8,nation_guatemala,50.000,active,active,66.22,0.00
8,nation_panama,50.000,active,active,5.12,0.00
9,nation_costa_rica,50.000,active,active,116.30,0.00
9,nation_nicaragua,50.000,active,active,-81.76,388.80
9,nation_honduras,50.000,active,active,149.86,0.00
9,nation_guatemala,50.000,active,active,72.62,0.00
9,nation_panama,50.000,active,active,5.76,0.00
10,nation_costa_rica,50.000,active,active,107.00,0.00
10,nation_nicaragua,50.000,active,active,-91.40,480.20
10,nation_honduras,50.000,active,active,155.40,0.00
10,nation_guatemala,50.000,active,active,79.02,0.00
10,nation_panama,50.000,active,active,6.40,0.00
