tick,nation_id,pop_stock,ind_stock,wealth_stock,army_size,culture_individualist,culture_progressive,culture_militaristic,culture_expansionist,culture_family
0,nation_costa_rica,0.00,0.00,200.00,,0.100000,0.300000,-0.800000,-0.600000,latin
0,nation_nicaragua,0.00,0.00,5.00,,-0.300000,0.000000,-0.100000,-0.100000,latin
0,nation_honduras,0.00,0.00,100.00,,-0.400000,-0.400000,0.100000,-0.100000,latin
0,nation_guatemala,0.00,0.00,0.00,,-0.400000,-0.500000,0.200000,0.100000,latin
0,nation_panama,0.00,0.00,0.00,,0.100000,0.200000,-0.400000,-0.300000,latin
1,nation_costa_rica,0.50,0.50,190.70,,0.100000,0.300000,-0.800000,-0.600000,latin
1,nation_nicaragua,0.72,0.24,-4.64,,-0.300000,0.000000,-0.100000,-0.100000,latin
1,nation_honduras,1.62,0.54,105.54,,-0.400000,-0.400000,0.100000,-0.100000,latin
1,nation_guatemala,3.92,1.12,11.40,,-0.400000,-0.500000,0.200000,0.100000,latin
1,nation_panama,0.32,0.32,0.64,,0.100000,0.200000,-0.400000,-0.300000,latin
2,nation_costa_rica,1.00,1.00,181.40,,0.100000,0.300000,-0.800000,-0.600000,latin
2,nation_nicaragua,1.44,0.48,-14.28,,-0.300000,0.000000,-0.100000,-0.100000,latin
2,nation_honduras,3.24,1.08,111.08,,-0.400000,-0.400000,0.100000,-0.100000,latin
2,nation_guatemala,7.84,2.24,21.66,,-0.400000,-0.500000,0.200000,0.100000,latin
2,nation_panama,0.64,0.64,1.28,,0.100000,0.200000,-0.400000,-0.300000,latin
3,nation_costa_rica,1.50,1.50,172.10,,0.100000,0.300000,-0.800000,-0.600000,latin
3,nation_nicaragua,2.16,0.72,-23.92,,-0.300000,0.000000,-0.100000,-0.100000,latin
3,nation_honduras,4.86,1.62,116.62,,-0.400000,-0.400000,0.100000,-0.100000,latin
3,nation_guatemala,11.76,3.36,30.89,,-0.400000,-0.500000,0.200000,0.100000,latin
3,nation_panama,0.96,0.96,1.92,,0.100000,0.200000,-0.400000,-0.300000,latin
4,nation_costa_rica,2.00,2.00,162.80,,0.100000,0.300000,-0.800000,-0.600000,latin
4,nation_nicaragua,2.88,0.96,-33.56,,-0.300000,0.000000,-0.100000,-0.100000,latin
4,nation_honduras,6.48,2.16,122.16,,-0.400000,-0.400000,0.100000,-0.100000,latin
4,nation_guatemala,15.68,4.48,39.20,,-0.400000,-0.500000,0.200000,0.100000,latin
4,nation_panama,1.28,1.28,2.56,,0.100000,0.200000,-0.400000,-0.300000,latin
5,nation_costa_rica,2.50,2.50,153.50,,0.100000,0.300000,-0.800000,-0.600000,latin
5,nation_nicaragua,3.60,1.20,-43.20,,-0.300000,0.000000,-0.100000,-0.100000,latin
5,nation_honduras,8.10,2.70,127.70,,-0.400000,-0.400000,0.100000,-0.100000,latin
5,nation_guatemala,19.60,5.60,46.68,,-0.400000,-0.500000,0.200000,0.100000,latin
5,nation_panama,1.60,1.60,3.20,,0.100000,0.200000,-0.400000,-0.300000,latin
6,nation_costa_rica,3.00,3.00,144.20,,0.100000,0.300000,-0.800000,-0.600000,latin
6,nation_nicaragua,4.32,1.44,-52.84,,-0.300000,0.000000,-0.100000,-0.100000,latin
6,nation_honduras,9.72,3.24,133.24,,-0.400000,-0.400000,0.100000,-0.100000,latin
6,nation_guatemala,23.52,6.72,53.42,,-0.400000,-0.500000,0.200000,0.100000,latin
6,nation_panama,1.92,1.92,3.84,,0.100000,0.200000,-0.400000,-0.300000,latin
7,nation_costa_rica,3.50,3.50,134.90,,0.100000,0.300000,-0.800000,-0.600000,latin
7,nation_nicaragua,5.04,1.68,-62.48,,-0.300000,0.000000,-0.100000,-0.100000,latin
7,nation_honduras,11.34,3.78,138.78,,-0.400000,-0.400000,0.100000,-0.100000,latin
7,nation_guatemala,27.44,7.84,59.82,,-0.400000,-0.500000,0.200000,0.100000,latin
7,nation_panama,2.24,2.24,4.48,,0.100000,0.200000,-0.400000,-0.300000,latin
8,nation_costa_rica,4.00,4.00,125.60,,0.100000,0.300000,-0.800000,-0.600000,latin
8,nation_nicaragua,5.76,1.92,-72.12,,-0.300000,0.000000,-0.100000,-0.100000,latin
8,nation_honduras,12.96,4.32,144.32,,-0.400000,-0.400000,0.100000,-0.100000,latin
8,nation_guatemala,31.36,8.96,66.22,,-0.400000,-0.500000,0.200000,0.100000,latin
8,nation_panama,2.56,2.56,5.12,,0.100000,0.200000,-0.400000,-0.300000,latin
9,nation_costa_rica,4.50,4.50,116.30,,0.100000,0.300000,-0.800000,-0.600000,latin
9,nation_nicaragua,6.48,2.16,-81.76,,-0.300000,0.000000,-0.100000,-0.100000,latin
9,nation_honduras,14.58,4.86,149.86,,-0.400000,-0.400000,0.100000,-0.100000,latin
9,nation_guatemala,35.28,10.08,72.62,,-0.400000,-0.500000,0.200000,0.100000,latin
9,nation_panama,2.88,2.88,5.76,,0.100000,0.200000,-0.400000,-0.300000,latin
10,nation_costa_rica,5.00,5.00,107.00,,0.100000,0.300000,-0.800000,-0.600000,latin
10,nation_nicaragua,7.20,2.40,-91.40,,-0.300000,0.000000,-0.100000,-0.100000,latin
10,nation_honduras,16.20,5.40,155.40,,-0.400000,-0.400000,0.100000,-0.100000,latin
10,nation_guatemala,39.20,11.20,79.02,,-0.400000,-0.500000,0.200000,0.100000,latin
10,nation_panama,3.20,3.20,6.40,,0.100000,0.200000,-0.400000,-0.300000,latin
