tick,nation_id,pop_stock,ind_stock,wealth_stock,army_size,culture_individualist,culture_progressive,culture_militaristic,culture_expansionist,culture_family
0,nation_costa_rica,0.00,0.00,20.00,,0.100000,0.300000,-0.800000,-0.600000,latin
0,nation_nicaragua,0.00,0.00,20.00,,-0.300000,0.000000,-0.100000,-0.100000,latin
0,nation_honduras,0.00,0.00,0.00,,-0.400000,-0.400000,0.100000,-0.100000,latin
0,nation_guatemala,0.00,0.00,0.00,,-0.400000,-0.500000,0.200000,0.100000,latin
0,nation_panama,0.00,0.00,0.00,,0.100000,0.200000,-0.400000,-0.300000,latin
1,nation_costa_rica,5.00,5.00,23.20,,0.100000,0.300000,-0.800000,-0.600000,latin
1,nation_nicaragua,6.00,2.00,21.20,,-0.300000,0.000000,-0.100000,-0.100000,latin
1,nation_honduras,9.00,3.00,0.50,,-0.400000,-0.400000,0.100000,-0.100000,latin
1,nation_guatemala,14.00,4.00,2.50,,-0.400000,-0.500000,0.200000,0.100000,latin
1,nation_panama,4.00,4.00,5.50,,0.100000,0.200000,-0.400000,-0.300000,latin
2,nation_costa_rica,16.00,12.00,29.55,,-0.036806,0.197396,-0.560590,-0.428993,latin
2,nation_nicaragua,6.00,2.00,19.55,,0.000000,0.000000,0.000000,0.000000,
2,nation_honduras,18.00,6.00,1.00,,-0.400000,-0.400000,0.100000,-0.100000,latin
2,nation_guatemala,28.00,8.00,5.00,,-0.400000,-0.500000,0.200000,0.100000,latin
2,nation_panama,8.00,8.00,11.00,,0.100000,0.200000,-0.400000,-0.300000,latin
3,nation_costa_rica,27.00,19.00,35.90,,-0.036990,0.197258,-0.560268,-0.428763,latin
3,nation_nicaragua,6.00,2.00,17.90,,0.000000,0.000000,0.000000,0.000000,
3,nation_honduras,27.00,9.00,1.50,,-0.400000,-0.400000,0.100000,-0.100000,latin
3,nation_guatemala,42.00,12.00,7.50,,-0.400000,-0.500000,0.200000,0.100000,latin
3,nation_panama,12.00,12.00,16.50,,0.100000,0.200000,-0.400000,-0.300000,latin
4,nation_costa_rica,38.00,26.00,42.25,,-0.037248,0.197064,-0.559815,-0.428440,latin
4,nation_nicaragua,6.00,2.00,16.25,,0.000000,0.000000,0.000000,0.000000,
4,nation_honduras,36.00,12.00,2.00,,-0.400000,-0.400000,0.100000,-0.100000,latin
4,nation_guatemala,56.00,16.00,10.00,,-0.400000,-0.500000,0.200000,0.100000,latin
4,nation_panama,16.00,16.00,22.00,,0.100000,0.200000,-0.400000,-0.300000,latin
5,nation_costa_rica,49.00,33.00,48.60,,-0.037572,0.196821,-0.559249,-0.428035,latin
5,nation_nicaragua,6.00,2.00,14.60,,0.000000,0.000000,0.000000,0.000000,
5,nation_honduras,45.00,15.00,2.50,,-0.400000,-0.400000,0.100000,-0.100000,latin
5,nation_guatemala,70.00,20.00,12.50,,-0.400000,-0.500000,0.200000,0.100000,latin
5,nation_panama,20.00,20.00,27.50,,0.100000,0.200000,-0.400000,-0.300000,latin
6,nation_costa_rica,60.00,40.00,54.95,,-0.037951,0.196537,-0.558586,-0.427561,latin
6,nation_nicaragua,6.00,2.00,12.95,,0.000000,0.000000,0.000000,0.000000,
6,nation_honduras,54.00,18.00,3.00,,-0.400000,-0.400000,0.100000,-0.100000,latin
6,nation_guatemala,84.00,24.00,15.00,,-0.400000,-0.500000,0.200000,0.100000,latin
6,nation_panama,24.00,24.00,33.00,,0.100000,0.200000,-0.400000,-0.300000,latin
7,nation_costa_rica,71.00,47.00,61.30,,-0.038378,0.196216,-0.557838,-0.427027,latin
7,nation_nicaragua,6.00,2.00,11.30,,0.000000,0.000000,0.000000,0.000000,
7,nation_honduras,63.00,21.00,3.50,,-0.400000,-0.400000,0.100000,-0.100000,latin
7,nation_guatemala,98.00,28.00,17.50,,-0.400000,-0.500000,0.200000,0.100000,latin
7,nation_panama,28.00,28.00,38.50,,0.100000,0.200000,-0.400000,-0.300000,latin
8,nation_costa_rica,82.00,54.00,67.65,,-0.038846,0.195865,-0.557019,-0.426442,latin
8,nation_nicaragua,6.00,2.00,9.65,,0.000000,0.000000,0.000000,0.000000,
8,nation_honduras,72.00,24.00,4.00,,-0.400000,-0.400000,0.100000,-0.100000,latin
8,nation_guatemala,112.00,32.00,20.00,,-0.400000,-0.500000,0.200000,0.100000,latin
8,nation_panama,32.00,32.00,44.00,,0.100000,0.200000,-0.400000,-0.300000,latin
9,nation_costa_rica,93.00,61.00,74.00,,-0.039350,0.195488,-0.556138,-0.425813,latin
9,nation_nicaragua,6.00,2.00,8.00,,0.000000,0.000000,0.000000,0.000000,
9,nation_honduras,81.00,27.00,4.50,,-0.400000,-0.400000,0.100000,-0.100000,latin
9,nation_guatemala,126.00,36.00,22.50,,-0.400000,-0.500000,0.200000,0.100000,latin
9,nation_panama,36.00,36.00,49.50,,0.100000,0.200000,-0.400000,-0.300000,latin
10,nation_costa_rica,104.00,68.00,80.35,,-0.039884,0.195087,-0.555204,-0.425145,latin
10,nation_nicaragua,6.00,2.00,6.35,,0.000000,0.000000,0.000000,0.000000,
10,nation_honduras,90.00,30.00,5.00,,-0.400000,-0.400000,0.100000,-0.100000,latin
10,nation_guatemala,140.00,40.00,25.00,,-0.400000,-0.500000,0.200000,0.100000,latin
10,nation_panama,40.00,40.00,55.00,,0.100000,0.200000,-0.400000,-0.300000,latin
