tick,nation_id,army_size
0,nation_costa_rica,50
0,nation_guatemala,50
0,nation_honduras,50
0,nation_nicaragua,50
0,nation_panama,50
1,nation_costa_rica,50
1,nation_guatemala,50
1,nation_honduras,50
1,nation_nicaragua,50
1,nation_panama,50
2,nation_costa_rica,50
2,nation_guatemala,50
2,nation_honduras,50
2,nation_nicaragua,50
2,nation_panama,50
3,nation_costa_rica,50
3,nation_guatemala,50
3,nation_honduras,50
3,nation_nicaragua,50
3,nation_panama,50
4,nation_costa_rica,50
4,nation_guatemala,50
4,nation_honduras,50
4,nation_nicaragua,50
4,nation_panama,50
5,nation_costa_rica,50
5,nation_guatemala,50
5,nation_honduras,50
5,nation_nicaragua,50
5,nation_panama,50
6,nation_costa_rica,50
6,nation_guatemala,50
6,nation_honduras,50
6,nation_nicaragua,50
6,nation_panama,50
7,nation_costa_rica,50
7,nation_guatemala,50
7,nation_honduras,50
7,nation_nicaragua,50
7,nation_panama,50
8,nation_costa_rica,50
8,nation_guatemala,50
8,nation_honduras,50
8,nation_nicaragua,50
8,nation_panama,50
