tick,nation_id,trust,inactivity_tier,activity_tier,wealth_stock,debt_balance
0,nation_costa_rica,50.000,active,active,10.00,0.00
0,nation_guatemala,50.000,active,active,10.00,0.00
0,nation_honduras,50.000,active,active,10.00,0.00
0,nation_nicaragua,50.000,active,active,0.00,0.00
0,nation_panama,50.000,active,active,0.00,0.00
1,nation_costa_rica,50.000,active,active,8.20,0.00
1,nation_guatemala,50.000,active,active,8.90,0.00
1,nation_honduras,50.000,active,active,8.04,0.00
1,nation_nicaragua,50.000,active,active,-2.14,2.14
1,nation_panama,50.000,active,active,-1.86,1.86
2,nation_costa_rica,50.000,active,active,6.40,0.00
2,nation_guatemala,50.000,active,active,7.80,0.00
2,nation_honduras,50.000,active,active,6.08,0.00
2,nation_nicaragua,50.000,active,active,-4.28,6.42
2,nation_panama,50.000,active,active,-3.72,5.58
3,nation_costa_rica,50.000,active,active,4.60,0.00
3,nation_guatemala,50.000,active,active,6.70,0.00
3,nation_honduras,50.000,active,active,4.12,0.00
3,nation_nicaragua,50.000,active,active,-6.42,12.84
3,nation_panama,50.000,active,active,-5.58,11.16
4,nation_costa_rica,50.000,active,active,2.80,0.00
4,nation_guatemala,50.000,active,active,5.60,0.00
4,nation_honduras,50.000,active,active,2.16,0.00
4,nation_nicaragua,50.000,active,active,-8.56,21.40
4,nation_panama,50.000,active,active,-7.44,18.60
5,nation_costa_rica,50.000,active,active,1.00,0.00
5,nation_guatemala,50.000,active,active,4.50,0.00
5,nation_honduras,50.000,active,active,0.20,0.00
5,nation_nicaragua,50.000,active,active,-10.70,32.10
5,nation_panama,50.000,active,active,-9.30,27.90
6,nation_costa_rica,50.000,active,active,-0.80,0.80
6,nation_guatemala,50.000,active,active,3.40,0.00
6,nation_honduras,50.000,active,active,-1.76,1.76
6,nation_nicaragua,50.000,active,active,-12.84,44.94
6,nation_panama,50.000,active,active,-11.16,39.06
7,nation_costa_rica,50.000,active,active,-2.60,3.40
7,nation_guatemala,50.000,active,active,2.30,0.00
7,nation_honduras,50.000,active,active,-3.72,5.48
7,nation_nicaragua,50.000,active,active,-14.98,59.92
7,nation_panama,50.000,active,active,-13.02,52.08
8,nation_costa_rica,50.000,active,active,-4.40,7.80
8,nation_guatemala,50.000,active,active,1.20,0.00
8,nation_honduras,50.000,active,active,-5.68,11.16
8,nation_nicaragua,50.000,active,active,-17.12,77.04
8,nation_panama,50.000,active,active,-14.88,66.96
