tick,nation_id,trust,inactivity_tier,activity_tier,wealth_stock,debt_balance
0,nation_costa_rica,50.000,active,active,30.00,0.00
0,nation_nicaragua,50.000,active,active,5.00,0.00
0,nation_honduras,50.000,active,active,10.00,0.00
0,nation_guatemala,50.000,active,active,0.00,0.00
0,nation_panama,50.000,active,active,0.00,0.00
1,nation_costa_rica,50.000,active,active,27.70,0.00
1,nation_nicaragua,50.000,active,active,-5.14,5.14
1,nation_honduras,50.000,active,active,16.04,0.00
1,nation_guatemala,50.000,active,active,-1.10,1.10
1,nation_panama,50.000,active,active,-1.86,1.86
2,nation_costa_rica,50.000,active,active,25.40,0.00
2,nation_nicaragua,50.000,active,active,-15.28,20.42
2,nation_honduras,50.000,active,active,22.08,0.00
2,nation_guatemala,50.000,active,active,-2.20,3.30
2,nation_panama,50.000,active,active,-3.72,5.58
3,nation_costa_rica,50.000,active,active,23.10,0.00
3,nation_nicaragua,50.000,active,active,-25.42,45.84
3,nation_honduras,50.000,active,active,28.12,0.00
3,nation_guatemala,50.000,active,active,-3.30,6.60
3,nation_panama,50.000,active,active,-5.58,11.16
4,nation_costa_rica,50.000,active,active,20.80,0.00
4,nation_nicaragua,50.000,active,active,-35.56,81.40
4,nation_honduras,50.000,active,active,34.16,0.00
4,nation_guatemala,50.000,active,active,-4.40,11.00
4,nation_panama,50.000,active,active,-7.44,18.60
5,nation_costa_rica,50.000,active,active,18.50,0.00
5,nation_nicaragua,50.000,active,active,-45.70,127.10
5,nation_honduras,50.000,active,active,40.20,0.00
5,nation_guatemala,50.000,active,active,-5.50,16.50
5,nation_panama,50.000,active,active,-9.30,27.90
6,nation_costa_rica,50.000,active,active,16.20,0.00
6,nation_nicaragua,50.000,active,active,-55.84,182.94
6,nation_honduras,50.000,active,active,46.24,0.00
6,nation_guatemala,50.000,active,active,-6.60,23.10
6,nation_panama,50.000,active,active,-11.16,39.06
7,nation_costa_rica,50.000,active,active,13.90,0.00
7,nation_nicaragua,50.000,active,active,-65.98,248.92
7,nation_honduras,50.000,active,active,52.28,0.00
7,nation_guatemala,50.000,active,active,-7.70,30.80
7,nation_panama,50.000,active,active,-13.02,52.08
8,nation_costa_rica,50.000,active,active,11.60,0.00
8,nation_nicaragua,50.000,active,active,-76.12,325.04
8,nation_honduras,50.000,active,active,58.32,0.00
8,nation_guatemala,50.000,active,active,-8.80,39.60
8,nation_panama,50.000,active,active,-14.88,66.96
9,nation_costa_rica,50.000,active,active,9.30,0.00
9,nation_nicaragua,50.000,active,active,-86.26,411.30
9,nation_honduras,50.000,active,active,64.36,0.00
9,nation_guatemala,50.000,active,active,-9.90,49.50
9,nation_panama,50.000,active,active,-16.74,83.70
10,nation_costa_rica,50.000,active,active,7.00,0.00
10,nation_nicaragua,50.000,active,active,-96.40,507.70
10,nation_honduras,50.000,active,active,70.40,0.00
10,nation_guatemala,50.000,active,active,-11.00,60.50
10,nation_panama,50.000,active,active,-18.60,102.30
11,nation_costa_rica,50.000,active,active,4.70,0.00
11,nation_nicaragua,50.000,active,active,-106.54,614.24
11,nation_honduras,50.000,active,active,76.44,0.00
11,nation_guatemala,50.000,active,active,-12.10,72.60
11,nation_panama,50.000,active,active,-20.46,122.76
12,nation_costa_rica,50.000,active,active,2.40,0.00
12,nation_nicaragua,50.000,active,active,-116.68,730.92
12,nation_honduras,50.000,active,active,82.48,0.00
12,nation_guatemala,50.000,active,active,-13.20,85.80
12,nation_panama,50.000,active,active,-22.32,145.08
13,nation_costa_rica,50.000,active,active,0.10,0.00
13,nation_nicaragua,50.000,active,active,-126.82,857.74
13,nation_honduras,50.000,active,active,88.52,0.00
13,nation_guatemala,50.000,active,active,-14.30,100.10
13,nation_panama,50.000,active,active,-24.18,169.26
14,nation_costa_rica,50.000,active,active,-2.20,2.20
14,nation_nicaragua,50.000,active,active,-136.96,994.70
14,nation_honduras,50.000,active,active,94.56,0.00
14,nation_guatemala,50.000,active,active,-15.40,115.50
14,nation_panama,50.000,active,active,-26.04,195.30
15,nation_costa_rica,50.000,active,active,-4.50,6.70
15,nation_nicaragua,50.000,active,active,-147.10,1141.80
15,nation_honduras,50.000,active,active,100.60,0.00
15,nation_guatemala,50.000,active,active,-16.50,132.00
15,nation_panama,50.000,active,active,-27.90,223.20
