tick,nation_id,trust,inactivity_tier,activity_tier,wealth_stock,debt_balance
0,nation_costa_rica,50.000,active,active,20.00,0.00
0,nation_nicaragua,50.000,active,active,20.00,0.00
0,nation_honduras,50.000,active,active,0.00,0.00
0,nation_guatemala,50.000,active,active,0.00,0.00
0,nation_panama,50.000,active,active,0.00,0.00
1,nation_costa_rica,50.000,active,active,22.25,0.00
1,nation_nicaragua,50.000,active,active,20.30,0.00
1,nation_honduras,50.000,active,active,0.50,0.00
1,nation_guatemala,50.000,active,active,2.50,0.00
1,nation_panama,50.000,active,active,5.50,0.00
2,nation_costa_rica,50.000,active,active,24.70,0.00
2,nation_nicaragua,50.000,active,active,20.85,0.00
2,nation_honduras,50.000,active,active,1.00,0.00
2,nation_guatemala,50.000,active,active,5.00,0.00
2,nation_panama,50.000,active,active,11.00,0.00
3,nation_costa_rica,50.000,active,active,30.35,0.00
3,nation_nicaragua,50.000,active,active,18.60,0.00
3,nation_honduras,50.000,active,active,1.50,0.00
3,nation_guatemala,50.000,active,active,7.50,0.00
3,nation_panama,50.000,active,active,16.50,0.00
4,nation_costa_rica,50.000,active,active,36.00,0.00
4,nation_nicaragua,50.000,active,active,16.35,0.00
4,nation_honduras,50.000,active,active,2.00,0.00
4,nation_guatemala,50.000,active,active,10.00,0.00
4,nation_panama,50.000,active,active,22.00,0.00
5,nation_costa_rica,50.000,active,active,41.65,0.00
5,nation_nicaragua,50.000,active,active,14.10,0.00
5,nation_honduras,50.000,active,active,2.50,0.00
5,nation_guatemala,50.000,active,active,12.50,0.00
5,nation_panama,50.000,active,active,27.50,0.00
6,nation_costa_rica,50.000,active,active,47.30,0.00
6,nation_nicaragua,50.000,active,active,11.85,0.00
6,nation_honduras,50.000,active,active,3.00,0.00
6,nation_guatemala,50.000,active,active,15.00,0.00
6,nation_panama,50.000,active,active,33.00,0.00
7,nation_costa_rica,50.000,active,active,52.95,0.00
7,nation_nicaragua,50.000,active,active,9.60,0.00
7,nation_honduras,50.000,active,active,3.50,0.00
7,nation_guatemala,50.000,active,active,17.50,0.00
7,nation_panama,50.000,active,active,38.50,0.00
8,nation_costa_rica,50.000,active,active,58.60,0.00
8,nation_nicaragua,50.000,active,active,7.35,0.00
8,nation_honduras,50.000,active,active,4.00,0.00
8,nation_guatemala,50.000,active,active,20.00,0.00
8,nation_panama,50.000,active,active,44.00,0.00
9,nation_costa_rica,50.000,active,active,64.25,0.00
9,nation_nicaragua,50.000,active,active,5.10,0.00
9,nation_honduras,50.000,active,active,4.50,0.00
9,nation_guatemala,50.000,active,active,22.50,0.00
9,nation_panama,50.000,active,active,49.50,0.00
10,nation_costa_rica,50.000,active,active,69.90,0.00
10,nation_nicaragua,50.000,active,active,2.85,0.00
10,nation_honduras,50.000,active,active,5.00,0.00
10,nation_guatemala,50.000,active,active,25.00,0.00
10,nation_panama,50.000,active,active,55.00,0.00
11,nation_costa_rica,50.000,active,active,75.55,0.00
11,nation_nicaragua,50.000,active,active,0.60,0.00
11,nation_honduras,50.000,active,active,5.50,0.00
11,nation_guatemala,50.000,active,active,27.50,0.00
11,nation_panama,50.000,active,active,60.50,0.00
12,nation_costa_rica,50.000,active,active,81.20,0.00
12,nation_nicaragua,50.000,active,active,-1.65,1.65
12,nation_honduras,50.000,active,active,6.00,0.00
12,nation_guatemala,50.000,active,active,30.00,0.00
12,nation_panama,50.000,active,active,66.00,0.00
13,nation_costa_rica,50.000,active,active,86.85,0.00
13,nation_nicaragua,50.000,active,active,-3.90,5.55
13,nation_honduras,50.000,active,active,6.50,0.00
13,nation_guatemala,50.000,active,active,32.50,0.00
13,nation_panama,50.000,active,active,71.50,0.00
14,nation_costa_rica,50.000,active,active,92.50,0.00
14,nation_nicaragua,50.000,active,active,-6.15,11.70
14,nation_honduras,50.000,active,active,7.00,0.00
14,nation_guatemala,50.000,active,active,35.00,0.00
14,nation_panama,50.000,active,active,77.00,0.00
15,nation_costa_rica,50.000,active,active,98.15,0.00
15,nation_nicaragua,50.000,active,active,-8.40,20.10
15,nation_honduras,50.000,active,active,7.50,0.00
15,nation_guatemala,50.000,active,active,37.50,0.00
15,nation_panama,50.000,active,active,82.50,0.00
