tick,nation_id,pop_stock,ind_stock,wealth_stock,army_size,culture_individualist,culture_progressive,culture_militaristic,culture_expansionist,culture_family
0,nation_costa_rica,0.00,0.00,20.00,,0.100000,0.300000,-0.800000,-0.600000,latin
0,nation_nicaragua,0.00,0.00,20.00,,-0.300000,0.000000,-0.100000,-0.100000,latin
0,nation_honduras,0.00,0.00,0.00,,-0.400000,-0.400000,0.100000,-0.100000,latin
0,nation_guatemala,0.00,0.00,0.00,,-0.400000,-0.500000,0.200000,0.100000,latin
0,nation_panama,0.00,0.00,0.00,,0.100000,0.200000,-0.400000,-0.300000,latin
1,nation_costa_rica,0.50,0.50,15.70,,0.100000,0.300000,-0.800000,-0.600000,latin
1,nation_nicaragua,0.72,0.24,17.66,,-0.300000,0.000000,-0.100000,-0.100000,latin
1,nation_honduras,1.62,0.54,-1.96,,-0.400000,-0.400000,0.100000,-0.100000,latin
1,nation_guatemala,3.92,1.12,-1.10,,-0.400000,-0.500000,0.200000,0.100000,latin
1,nation_panama,0.32,0.32,-1.86,,0.100000,0.200000,-0.400000,-0.300000,latin
2,nation_costa_rica,1.00,1.00,11.40,,0.100000,0.300000,-0.800000,-0.600000,latin
2,nation_nicaragua,1.44,0.48,15.57,,-0.300000,0.000000,-0.100000,-0.100000,latin
2,nation_honduras,3.24,1.08,-3.92,,-0.400000,-0.400000,0.100000,-0.100000,latin
2,nation_guatemala,7.84,2.24,-2.20,,-0.400000,-0.500000,0.200000,0.100000,latin
2,nation_panama,0.64,0.64,-3.72,,0.100000,0.200000,-0.400000,-0.300000,latin
3,nation_costa_rica,2.22,1.74,7.46,,-0.036781,0.197415,-0.560634,-0.429024,latin
3,nation_nicaragua,1.44,0.48,13.32,,0.000000,0.000000,0.000000,0.000000,
3,nation_honduras,4.86,1.62,-5.88,,-0.400000,-0.400000,0.100000,-0.100000,latin
3,nation_guatemala,11.76,3.36,-3.30,,-0.400000,-0.500000,0.200000,0.100000,latin
3,nation_panama,0.96,0.96,-5.58,,0.100000,0.200000,-0.400000,-0.300000,latin
4,nation_costa_rica,3.44,2.48,3.52,,-0.036916,0.197313,-0.560397,-0.428855,latin
4,nation_nicaragua,1.44,0.48,11.07,,0.000000,0.000000,0.000000,0.000000,
4,nation_honduras,6.48,2.16,-7.84,,-0.400000,-0.400000,0.100000,-0.100000,latin
4,nation_guatemala,15.68,4.48,-4.40,,-0.400000,-0.500000,0.200000,0.100000,latin
4,nation_panama,1.28,1.28,-7.44,,0.100000,0.200000,-0.400000,-0.300000,latin
5,nation_costa_rica,4.66,3.22,-0.42,,-0.037098,0.197177,-0.560079,-0.428628,latin
5,nation_nicaragua,1.44,0.48,8.82,,0.000000,0.000000,0.000000,0.000000,
5,nation_honduras,8.10,2.70,-9.80,,-0.400000,-0.400000,0.100000,-0.100000,latin
5,nation_guatemala,19.60,5.60,-5.50,,-0.400000,-0.500000,0.200000,0.100000,latin
5,nation_panama,1.60,1.60,-9.30,,0.100000,0.200000,-0.400000,-0.300000,latin
6,nation_costa_rica,5.88,3.96,-4.36,,-0.037312,0.197016,-0.559705,-0.428361,latin
6,nation_nicaragua,1.44,0.48,6.57,,0.000000,0.000000,0.000000,0.000000,
6,nation_honduras,9.72,3.24,-11.76,,-0.400000,-0.400000,0.100000,-0.100000,latin
6,nation_guatemala,23.52,6.72,-6.60,,-0.400000,-0.500000,0.200000,0.100000,latin
6,nation_panama,1.92,1.92,-11.16,,0.100000,0.200000,-0.400000,-0.300000,latin
7,nation_costa_rica,7.10,4.70,-8.30,,-0.037547,0.196840,-0.559293,-0.428067,latin
7,nation_nicaragua,1.44,0.48,4.32,,0.000000,0.000000,0.000000,0.000000,
7,nation_honduras,11.34,3.78,-13.72,,-0.400000,-0.400000,0.100000,-0.100000,latin
7,nation_guatemala,27.44,7.84,-7.70,,-0.400000,-0.500000,0.200000,0.100000,latin
7,nation_panama,2.24,2.24,-13.02,,0.100000,0.200000,-0.400000,-0.300000,latin
8,nation_costa_rica,8.32,5.44,-12.24,,-0.037794,0.196654,-0.558860,-0.427757,latin
8,nation_nicaragua,1.44,0.48,2.07,,0.000000,0.000000,0.000000,0.000000,
8,nation_honduras,12.96,4.32,-15.68,,-0.400000,-0.400000,0.100000,-0.100000,latin
8,nation_guatemala,31.36,8.96,-8.80,,-0.400000,-0.500000,0.200000,0.100000,latin
8,nation_panama,2.56,2.56,-14.88,,0.100000,0.200000,-0.400000,-0.300000,latin
9,nation_costa_rica,9.54,6.18,-16.18,,-0.038048,0.196464,-0.558416,-0.427440,latin
9,nation_nicaragua,1.44,0.48,-0.18,,0.000000,0.000000,0.000000,0.000000,
9,nation_honduras,14.58,4.86,-17.64,,-0.400000,-0.400000,0.100000,-0.100000,latin
9,nation_guatemala,35.28,10.08,-9.90,,-0.400000,-0.500000,0.200000,0.100000,latin
9,nation_panama,2.88,2.88,-16.74,,0.100000,0.200000,-0.400000,-0.300000,latin
10,nation_costa_rica,10.76,6.92,-20.12,,-0.038302,0.196274,-0.557972,-0.427123,latin
10,nation_nicaragua,1.44,0.48,-2.43,,0.000000,0.000000,0.000000,0.000000,
10,nation_honduras,16.20,5.40,-19.60,,-0.400000,-0.400000,0.100000,-0.100000,latin
10,nation_guatemala,39.20,11.20,-11.00,,-0.400000,-0.500000,0.200000,0.100000,latin
10,nation_panama,3.20,3.20,-18.60,,0.100000,0.200000,-0.400000,-0.300000,latin
11,nation_costa_rica,11.98,7.66,-24.06,,-0.038552,0.196086,-0.557534,-0.426810,latin
11,nation_nicaragua,1.44,0.48,-4.68,,0.000000,0.000000,0.000000,0.000000,
11,nation_honduras,17.82,5.94,-21.56,,-0.400000,-0.400000,0.100000,-0.100000,latin
11,nation_guatemala,43.12,12.32,-12.10,,-0.400000,-0.500000,0.200000,0.100000,latin
11,nation_panama,3.52,3.52,-20.46,,0.100000,0.200000,-0.400000,-0.300000,latin
12,nation_costa_rica,13.20,8.40,-28.00,,-0.038795,0.195903,-0.557108,-0.426506,latin
12,nation_nicaragua,1.44,0.48,-6.93,,0.000000,0.000000,0.000000,0.000000,
12,nation_honduras,19.44,6.48,-23.52,,-0.400000,-0.400000,0.100000,-0.100000,latin
12,nation_guatemala,47.04,13.44,-13.20,,-0.400000,-0.500000,0.200000,0.100000,latin
12,nation_panama,3.84,3.84,-22.32,,0.100000,0.200000,-0.400000,-0.300000,latin
13,nation_costa_rica,14.42,9.14,-31.94,,-0.039030,0.195727,-0.556697,-0.426212,latin
13,nation_nicaragua,1.44,0.48,-9.18,,0.000000,0.000000,0.000000,0.000000,
13,nation_honduras,21.06,7.02,-25.48,,-0.400000,-0.400000,0.100000,-0.100000,latin
13,nation_guatemala,50.96,14.56,-14.30,,-0.400000,-0.500000,0.200000,0.100000,latin
13,nation_panama,4.16,4.16,-24.18,,0.100000,0.200000,-0.400000,-0.300000,latin
14,nation_costa_rica,15.64,9.88,-35.88,,-0.039254,0.195559,-0.556305,-0.425932,latin
14,nation_nicaragua,1.44,0.48,-11.43,,0.000000,0.000000,0.000000,0.000000,
14,nation_honduras,22.68,7.56,-27.44,,-0.400000,-0.400000,0.100000,-0.100000,latin
14,nation_guatemala,54.88,15.68,-15.40,,-0.400000,-0.500000,0.200000,0.100000,latin
14,nation_panama,4.48,4.48,-26.04,,0.100000,0.200000,-0.400000,-0.300000,latin
15,nation_costa_rica,16.86,10.62,-39.82,,-0.039467,0.195400,-0.555933,-0.425667,latin
15,nation_nicaragua,1.44,0.48,-13.68,,0.000000,0.000000,0.000000,0.000000,
15,nation_honduras,24.30,8.10,-29.40,,-0.400000,-0.400000,0.100000,-0.100000,latin
15,nation_guatemala,58.80,16.80,-16.50,,-0.400000,-0.500000,0.200000,0.100000,latin
15,nation_panama,4.80,4.80,-27.90,,0.100000,0.200000,-0.400000,-0.300000,latin
