tick,nation_id,trust,inactivity_tier,activity_tier,wealth_stock,debt_balance
0,nation_costa_rica,50.000,active,active,10.00,0.00
0,nation_nicaragua,50.000,active,active,10.00,0.00
0,nation_honduras,50.000,active,active,0.00,0.00
0,nation_guatemala,50.000,active,active,0.00,0.00
0,nation_panama,50.000,active,active,0.00,0.00
1,nation_costa_rica,40.500,active,active,14.00,0.00
1,nation_nicaragua,50.000,active,active,10.00,0.00
1,nation_honduras,50.000,active,active,0.50,0.00
1,nation_guatemala,50.000,active,active,2.50,0.00
1,nation_panama,50.000,active,active,5.50,0.00
2,nation_costa_rica,41.000,active,active,18.15,0.00
2,nation_nicaragua,50.000,active,active,10.00,0.00
2,nation_honduras,50.000,active,active,1.00,0.00
2,nation_guatemala,50.000,active,active,5.00,0.00
2,nation_panama,50.000,active,active,11.00,0.00
3,nation_costa_rica,41.500,active,active,22.40,0.00
3,nation_nicaragua,50.000,active,active,10.00,0.00
3,nation_honduras,50.000,active,active,1.50,0.00
3,nation_guatemala,50.000,active,active,7.50,0.00
3,nation_panama,50.000,active,active,16.50,0.00
4,nation_costa_rica,42.000,active,active,26.65,0.00
4,nation_nicaragua,50.000,active,active,10.00,0.00
4,nation_honduras,50.000,active,active,2.00,0.00
4,nation_guatemala,50.000,active,active,10.00,0.00
4,nation_panama,50.000,active,active,22.00,0.00
5,nation_costa_rica,42.500,active,active,30.90,0.00
5,nation_nicaragua,50.000,active,active,10.00,0.00
5,nation_honduras,50.000,active,active,2.50,0.00
5,nation_guatemala,50.000,active,active,12.50,0.00
5,nation_panama,50.000,active,active,27.50,0.00
6,nation_costa_rica,43.000,active,active,35.15,0.00
6,nation_nicaragua,50.000,active,active,10.00,0.00
6,nation_honduras,50.000,active,active,3.00,0.00
6,nation_guatemala,50.000,active,active,15.00,0.00
6,nation_panama,50.000,active,active,33.00,0.00
7,nation_costa_rica,43.500,active,active,39.40,0.00
7,nation_nicaragua,50.000,active,active,10.00,0.00
7,nation_honduras,50.000,active,active,3.50,0.00
7,nation_guatemala,50.000,active,active,17.50,0.00
7,nation_panama,50.000,active,active,38.50,0.00
8,nation_costa_rica,44.000,active,active,43.65,0.00
8,nation_nicaragua,50.000,active,active,10.00,0.00
8,nation_honduras,50.000,active,active,4.00,0.00
8,nation_guatemala,50.000,active,active,20.00,0.00
8,nation_panama,50.000,active,active,44.00,0.00
9,nation_costa_rica,44.500,active,active,47.90,0.00
9,nation_nicaragua,50.000,active,active,10.00,0.00
9,nation_honduras,50.000,active,active,4.50,0.00
9,nation_guatemala,50.000,active,active,22.50,0.00
9,nation_panama,50.000,active,active,49.50,0.00
10,nation_costa_rica,45.000,active,active,52.15,0.00
10,nation_nicaragua,50.000,active,active,10.00,0.00
10,nation_honduras,50.000,active,active,5.00,0.00
10,nation_guatemala,50.000,active,active,25.00,0.00
10,nation_panama,50.000,active,active,55.00,0.00
11,nation_costa_rica,45.500,active,active,56.40,0.00
11,nation_nicaragua,50.000,active,active,10.00,0.00
11,nation_honduras,50.000,active,active,5.50,0.00
11,nation_guatemala,50.000,active,active,27.50,0.00
11,nation_panama,50.000,active,active,60.50,0.00
12,nation_costa_rica,46.000,active,active,60.65,0.00
12,nation_nicaragua,50.000,active,active,10.00,0.00
12,nation_honduras,50.000,active,active,6.00,0.00
12,nation_guatemala,50.000,active,active,30.00,0.00
12,nation_panama,50.000,active,active,66.00,0.00
